file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
sklearn\metrics\pairwise.py,pairwise_distances,1115,1217,6f771d5,Tahar,2017-02-22 18:17:04,[MRG] Remove unnecessary backticks around parameter name in docstrings (#8432),8432,"0a85111fbd5f6703a56ca8dad3c11cdcd38653cb, a78b66f9f385a46e75463448b6d3f57ea3a020f9, 6f771d51866972e1c8989ec33e02e984ca7b1ebb, 2245790c7b7833e7c359e3ff74cea8deebe5f35e, 0650d5502e01e6b4245ce99729fc8e7a71aacff3, d62971d4d348299c7aa39c1870c75783af2af9d6, f96331717a5cf04b7b53851b70312c59e7594834, fe768182ef45893bbcdde7663ffb860b3ac3ffa0, 2ee7315ab6e0ee8d5710d0bdb55f1009bf324b03, d3eb06d79d247c24a8deae7360d67c66d12b635d, 8861833ec9ee67656670af66605991c44207ff81, 67ece78da4f8cd60582a83f075b04dc32e33d6ad, 829d3fcf9e12fca7bb754939d65df93b16124e74, faea50db2f508fbe8138072d61958b09652768c5, 00eff77a975596011dbbf0139608bcfc6e6157e1, 3a5e1813b540407865b8a3f242167b4e5d316dd7, 3b8f54e58667be80af6c099bfda40c7fe6579712, 56c9dc8881c5f1bedc1724fcad429f4ca31f44cb, 1e3824b82073d922c8aa86ad8ae83bb6b81847bf, b60f7d851946318b7a0b8813c04b10d6442e0edf, e3a83de322b77116e4e3247efb039712165a3f7c, 6a3103ff697e15ccf851c9f9c0f7568ee5a2b8d2, b5b9f8e6d4acb05c447224d85097a9f72c3bde2c, 7eae6a90f84d1cd2f24934af25e179f4f6dce0d9, e271afd6e12f12f46609914c3c1a79278ccb8923, b592902039e42558219f1495a7921085098205f4, 1215c0e97cf49b93b272da475d0f83453618123a, ad79b4d2cd1083bf9ba9989792b419fa6d34e6e6, fc428b1a928e61052482958bbf8cd688cd7c6cc9",1215,assignment," Incompatible types in assignment (expression has type ""partial"", variable has type ""function"")"
sklearn\metrics\classification.py,_check_targets,44,99,f99fd0d,Joel Nothman,2017-07-11 01:31:10,More informative error message for classification metrics given regression output (#9275),9275,"f99fd0dd291851672d90a019c0f4b90b8a090ceb, 24653e8721794d47173554ec723a358a26f7300c, 664d78eb7cd47e477391f943c53621e1196325a3",97,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""Set[Any]"")"
sklearn\metrics\classification.py,_check_targets,44,99,24653e8,Loïc Estève,2017-04-21 22:54:00,[MRG] Fix sklearn.metrics.classification._check_targets where y_true and y_pred are both binary but the union is multiclass (#8377),8377,"f99fd0dd291851672d90a019c0f4b90b8a090ceb, 24653e8721794d47173554ec723a358a26f7300c, 664d78eb7cd47e477391f943c53621e1196325a3",97,assignment," Incompatible types in assignment (expression has type ""str"", variable has type ""Set[Any]"")"
sklearn\multiclass.py,predict,259,298,b43c791,Andreas Mueller,2017-06-10 18:17:17,FIX OvR/OvO classifier decision_function shape fixes (#9100),9100,"b43c79163d7e3f8477f973e8aa8bca7025f58481, 1c41368bac124ab336fb8c7fd4bc846d266228e5, bd9716913ecf8b9bdb4fc38a827f3fb01056238f, e20d1a43912145e5a3b44e29a0b8ff56f64def2c, abd31d2cad61bbf8d2e97556506dea5557bc4760, abd31d2cad61bbf8d2e97556506dea5557bc4760, abd31d2cad61bbf8d2e97556506dea5557bc4760, abd31d2cad61bbf8d2e97556506dea5557bc4760, 6e123c0661a327ec2ab2231da3df81adc8628031, 0807e19dc2fef05f4e17e0beba504c29ff68bcd2, 0807e19dc2fef05f4e17e0beba504c29ff68bcd2, 0807e19dc2fef05f4e17e0beba504c29ff68bcd2, caff874850e3d313198e8eae777978398cc3f17a, caff874850e3d313198e8eae777978398cc3f17a, caff874850e3d313198e8eae777978398cc3f17a, 9f45e3730f648aa0e521f724f8d520f0376b2854, 839c4b087ab6ea04e540c91ab6e086b41a868018, f748b230143a9c99955908106baf9e5763ff5c2f, ab791ef3f0f8127e00245977215433cad30a6c71, 68f27e37905b8e38c1da06f160755cdececc64b1",277,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\multiclass.py,predict,259,298,1c41368,Andreas Mueller,2017-06-06 16:34:47,[MRG+1] Uncontroversial fixes from estimator tags branch (#8086),8086,"b43c79163d7e3f8477f973e8aa8bca7025f58481, 1c41368bac124ab336fb8c7fd4bc846d266228e5, bd9716913ecf8b9bdb4fc38a827f3fb01056238f, e20d1a43912145e5a3b44e29a0b8ff56f64def2c, abd31d2cad61bbf8d2e97556506dea5557bc4760, abd31d2cad61bbf8d2e97556506dea5557bc4760, abd31d2cad61bbf8d2e97556506dea5557bc4760, abd31d2cad61bbf8d2e97556506dea5557bc4760, 6e123c0661a327ec2ab2231da3df81adc8628031, 0807e19dc2fef05f4e17e0beba504c29ff68bcd2, 0807e19dc2fef05f4e17e0beba504c29ff68bcd2, 0807e19dc2fef05f4e17e0beba504c29ff68bcd2, caff874850e3d313198e8eae777978398cc3f17a, caff874850e3d313198e8eae777978398cc3f17a, caff874850e3d313198e8eae777978398cc3f17a, 9f45e3730f648aa0e521f724f8d520f0376b2854, 839c4b087ab6ea04e540c91ab6e086b41a868018, f748b230143a9c99955908106baf9e5763ff5c2f, ab791ef3f0f8127e00245977215433cad30a6c71, 68f27e37905b8e38c1da06f160755cdececc64b1",277,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
setup.py,get_scipy_status,140,156,db4e244,Gael Varoquaux,2016-09-14 18:36:43,ENH: display the original exception (#5906),5906,"66bf80938b01735cea6e9707dfcb6b95d43b86a3, db4e2440c55e2d43083b061f742159c7158c6c96",155,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""bool"")"
setup.py,get_numpy_status,159,175,db4e244,Gael Varoquaux,2016-09-14 18:36:43,ENH: display the original exception (#5906),5906,db4e2440c55e2d43083b061f742159c7158c6c96,174,assignment," Incompatible types in assignment (expression has type ""str"", target has type ""bool"")"
sklearn\utils\graph.py,single_source_shortest_path_length,24,69,096a9cb,Olivier Grisel,2016-12-27 19:50:25,[MRG] MAINT Python 3.6 fixes (#8123),8123,"c3bdc0a89a2e376c37cfbac358db71a0b29c42a6, 096a9cbead13c5912e247ab2f3d14d27b7990c0d, 4395694b46e97f55fd081ee85ced5b98407907a5, 51f568022ff76ea6c67d17f906f4df2f15982bb9",61,assignment," Incompatible types in assignment (expression has type ""Set[<nothing>]"", variable has type ""List[Any]"")"
sklearn\model_selection\_split.py,_validate_shuffle_split,1127,1163,1f781e6,Nelson Liu,2017-06-14 04:28:52,[MRG+3] CV splitters: train/test_size default behavior will change in 0.21 (#7459),7459,"1f781e64a2269998a23f8d46260edcb9e3af6c7f, 9a12555e6d14565ba769861a308eb360efbc34d1",1145,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
sklearn\model_selection\_split.py,_validate_shuffle_split,1127,1163,9a12555,Raghav RV,2016-09-11 19:14:41,[MRG+1] ENH/MNT Rename labels --> groups in CV tools (#6660),6660,"1f781e64a2269998a23f8d46260edcb9e3af6c7f, 9a12555e6d14565ba769861a308eb360efbc34d1",1145,assignment," Incompatible types in assignment (expression has type ""float"", variable has type ""int"")"
