file,method,params,startLineno,endLineno,affectedLineno,affectedOffsets,affectedVar,affectedTypes
contrib\inventory\abiquo.py,get_inventory,"enterprise, config",197,208,198,8265-8268,inv,"str,dict"
contrib\inventory\abiquo.py,save_cache,"data, config",72,80,75,2733-2737,data,"str,dict"
contrib\inventory\abiquo.py,get_inventory,"enterprise, config",197,208,199,8301-8304,inv,"str,dict"
contrib\inventory\collins.py,find_assets,"self, attributes=None, operation='AND'",172,217,201,7436-7445,query_url,"str,tuple"
contrib\inventory\consul_io.py,to_safe,"self, word",426,429,427,15952-15956,host,"str,function"
contrib\inventory\consul_io.py,to_safe,"self, word",426,429,427,15963-15967,port,"function,int"
contrib\inventory\consul_io.py,load_node_metadata_from_kv,"self, node_data",315,332,332,12958-12965,element,"str,tuple,tuple"
contrib\inventory\consul_io.py,load_groups_from_kv,"self, node_data",334,347,334,13001-13008,element,"str,tuple,tuple"
contrib\inventory\consul_io.py,load_data_for_node,"self, node, datacenter",294,313,301,11929-11933,node,"str,tuple,tuple"
contrib\inventory\consul_io.py,load_data_for_node,"self, node, datacenter",294,313,302,11994-11998,node,"str,tuple,tuple"
contrib\inventory\consul_io.py,load_data_for_node,"self, node, datacenter",294,313,305,12058-12062,node,"str,tuple,tuple"
contrib\inventory\consul_io.py,load_all_data_consul,self,248,255,253,9669-9672,key,"str,tuple"
contrib\inventory\consul_io.py,__init__,self,210,238,237,8997-9000,key,"str,tuple"
contrib\inventory\ec2.py,read_settings,self,299,515,485,18796-18801,error,"str,tuple"
contrib\inventory\spacewalk.py,spacewalk_report,name,82,102,94,3150-3153,key,"str,list"
contrib\inventory\spacewalk.py,spacewalk_report,name,82,102,94,3142-3145,key,"str,list"
contrib\inventory\vbox.py,get_hosts,host=None,36,102,57,1526-1527,k,"str,list"
contrib\inventory\vbox.py,get_hosts,host=None,36,102,60,1572-1573,v,"str,list"
contrib\inventory\vbox.py,get_hosts,host=None,36,102,61,1594-1595,k,"str,list"
contrib\inventory\vbox.py,get_hosts,host=None,36,102,77,2220-2221,k,"str,list"
contrib\inventory\vbox.py,get_hosts,host=None,36,102,79,2303-2308,group,"str,list"
contrib\inventory\vbox.py,get_hosts,host=None,36,102,80,2338-2343,group,"str,list"
contrib\inventory\vbox.py,get_hosts,host=None,36,102,81,2399-2404,group,"str,list"
contrib\inventory\vbox.py,get_hosts,host=None,36,102,82,2448-2453,group,"str,list"
contrib\inventory\vbox.py,get_hosts,host=None,36,102,86,2574-2575,k,"str,list"
contrib\inventory\vbox.py,get_hosts,host=None,36,102,87,2613-2614,k,"str,list"
lib\ansible\constants.py,set_constant,"name, value, export=vars()",56,58,57,2006-2011,value,"str,bool"
lib\ansible\constants.py,get_config,"parser, section, key, env_var, default_value, value_type=None, expand_relative_paths=False",36,53,46,1549-1553,path,"str,bool"
lib\ansible\constants.py,get_config,"parser, section, key, env_var, default_value, value_type=None, expand_relative_paths=False",36,53,47,1609-1613,path,"str,bool"
lib\ansible\constants.py,get_config,"parser, section, key, env_var, default_value, value_type=None, expand_relative_paths=False",36,53,48,1628-1632,path,"str,bool"
lib\ansible\cli\galaxy.py,_display_role_info,"self, role_info",160,179,177,8755-8759,text,"str,tuple"
lib\ansible\cli\galaxy.py,_display_role_info,"self, role_info",160,179,179,8841-8845,text,"str,tuple"
lib\ansible\cli\galaxy.py,execute_install,self,304,431,325,14779-14783,data,"str,tuple"
lib\ansible\cli\galaxy.py,execute_install,self,304,431,327,14865-14869,data,"str,tuple"
lib\ansible\cli\galaxy.py,execute_search,self,498,540,523,23989-23993,data,"str,tuple"
lib\ansible\cli\galaxy.py,execute_search,self,498,540,532,24423-24427,data,"str,tuple"
lib\ansible\cli\galaxy.py,execute_search,self,498,540,533,24444-24448,data,"str,tuple,tuple,int"
lib\ansible\cli\galaxy.py,execute_search,self,498,540,534,24500-24504,data,"str,tuple,tuple,int"
lib\ansible\cli\galaxy.py,execute_search,self,498,540,536,24602-24606,data,"str,tuple,tuple,tuple,int"
lib\ansible\cli\galaxy.py,execute_install,self,304,431,326,14842-14846,data,"str,tuple"
lib\ansible\cli\galaxy.py,execute_install,self,304,431,329,14934-14938,data,"str,tuple"
lib\ansible\cli\galaxy.py,execute_search,self,498,540,533,24453-24463,format_str,"str,int"
lib\ansible\cli\galaxy.py,execute_search,self,498,540,534,24509-24519,format_str,"str,int"
lib\ansible\cli\galaxy.py,execute_search,self,498,540,536,24611-24621,format_str,"str,int"
lib\ansible\cli\galaxy.py,execute_search,self,498,540,538,24707-24711,data,"str,tuple,tuple,tuple,int"
lib\ansible\cli\playbook.py,run,self,80,191,159,6750-6753,msg,"str,tuple"
lib\ansible\cli\playbook.py,run,self,80,191,163,6942-6945,msg,"str,tuple,tuple"
lib\ansible\cli\playbook.py,run,self,80,191,165,7094-7097,msg,"str,tuple,tuple"
lib\ansible\cli\playbook.py,run,self,80,191,167,7160-7163,msg,"str,tuple,tuple"
lib\ansible\cli\pull.py,parse,self,85,154,149,6532-6541,repo_opts,"str,tuple"
lib\ansible\cli\pull.py,parse,self,85,154,152,6648-6657,repo_opts,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,158,6865-6874,repo_opts,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,161,6962-6971,repo_opts,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,174,7472-7475,cmd,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,202,8585-8588,cmd,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,204,8704-8707,cmd,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,206,8804-8807,cmd,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,208,8940-8943,cmd,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,210,9012-9015,cmd,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,212,9096-9099,cmd,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,170,7380-7389,repo_opts,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,183,7817-7820,cmd,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,184,7854-7857,cmd,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,218,9318-9321,cmd,"str,tuple"
lib\ansible\cli\pull.py,run,self,156,299,219,9355-9358,cmd,"str,tuple"
lib\ansible\cli\__init__.py,unfrack_paths,"option, opt, value, parser",391,404,395,19166-19175,repo_path,"CLI,str,?"
lib\ansible\cli\__init__.py,unfrack_paths,"option, opt, value, parser",391,404,398,19312-19321,repo_path,"CLI,str,?"
lib\ansible\cli\__init__.py,unfrack_path,"option, opt, value, parser",406,411,407,19679-19688,repo_path,"CLI,str,?"
lib\ansible\cli\__init__.py,normalize_become_options,self,343,366,362,17590-17605,ansible_version,"str,list"
lib\ansible\cli\__init__.py,validate_conflicts,"self, vault_opts=False, runas_opts=False, fork_opts=False",368,389,374,18144-18159,ansible_version,"str,list"
lib\ansible\errors\__init__.py,_get_extended_error,self,100,174,102,3785-3798,error_message,"str,tuple"
lib\ansible\errors\__init__.py,_get_extended_error,self,100,174,111,4392-4405,error_message,"str,tuple,tuple"
