<<configuration>> <<5:75-88>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<parent_package>> <<5:89-103>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<top_path>> <<5:108-116>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<config>> <<6:129-135>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<parent_package>> <<6:164-178>> <<str>> <<VARIABLE>> <<LINK>>
<<top_path>> <<6:180-188>> <<None>> <<VARIABLE>> <<LINK>>
<<config>> <<7:195-201>> <<?>> <<VARIABLE>> <<LINK>>
<<config>> <<11:367-373>> <<?>> <<VARIABLE>> <<LINK>>
<<config>> <<13:412-418>> <<?>> <<VARIABLE>> <<LINK>>
