file,pattern,lineno
scipy\linalg\tests\test_blas.py,getattr,245
scipy\linalg\tests\test_blas.py,getattr,256
scipy\linalg\tests\test_blas.py,getattr,281
scipy\linalg\tests\test_blas.py,getattr,308
scipy\linalg\tests\test_blas.py,getattr,335
scipy\linalg\tests\test_blas.py,getattr,371
scipy\linalg\tests\test_blas.py,getattr,419
scipy\linalg\tests\test_blas.py,getattr,458
scipy\linalg\tests\test_blas.py,getattr,464
scipy\linalg\tests\test_blas.py,getattr,474
scipy\linalg\tests\test_blas.py,getattr,503
scipy\linalg\tests\test_blas.py,getattr,515
scipy\linalg\tests\test_blas.py,getattr,553
scipy\linalg\tests\test_blas.py,getattr,591
scipy\linalg\tests\test_blas.py,getattr,646
scipy\linalg\tests\test_blas.py,getattr,654
scipy\linalg\tests\test_blas.py,getattr,664
scipy\linalg\tests\test_lapack.py,getattr,44
scipy\linalg\tests\test_lapack.py,getattr,63
scipy\linalg\tests\test_lapack.py,hasattr,131
scipy\linalg\tests\test_lapack.py,hasattr,136
scipy\misc\doccer.py,getattr,117
scipy\misc\pilutil.py,hasattr,25
scipy\misc\__init__.py,delname,59,sys
scipy\misc\__init__.py,delname,65,pilutil
scipy\misc\__init__.py,delname,71,common
scipy\ndimage\_ni_support.py,hasattr,60
scipy\odr\odrpack.py,hasattr,579
scipy\odr\odrpack.py,getattr,1059
scipy\optimize\minpack.py,getattr,34
scipy\optimize\nonlin.py,getattr,153
scipy\optimize\nonlin.py,hasattr,528
scipy\optimize\nonlin.py,hasattr,554
scipy\optimize\nonlin.py,hasattr,556
scipy\optimize\nonlin.py,hasattr,597
scipy\optimize\nonlin.py,hasattr,597
scipy\optimize\nonlin.py,hasattr,597
scipy\optimize\nonlin.py,getattr,598
scipy\optimize\nonlin.py,getattr,599
scipy\optimize\nonlin.py,getattr,601
scipy\optimize\nonlin.py,getattr,602
scipy\optimize\nonlin.py,getattr,603
scipy\optimize\nonlin.py,hasattr,670
scipy\optimize\nonlin.py,delsubscript,806
scipy\optimize\nonlin.py,delsubscript,807
scipy\optimize\nonlin.py,delsubscript,817
scipy\optimize\nonlin.py,delsubscript,818
scipy\optimize\nonlin.py,delsubscript,882
scipy\optimize\nonlin.py,delsubscript,883
scipy\optimize\nonlin.py,delsubscript,1121
scipy\optimize\nonlin.py,delsubscript,1122
scipy\optimize\nonlin.py,hasattr,1467
scipy\optimize\nonlin.py,hasattr,1483
scipy\optimize\optimize.py,getattr,2795
scipy\optimize\zeros.py,getattr,49
scipy\optimize\_basinhopping.py,hasattr,85
scipy\optimize\_basinhopping.py,hasattr,87
scipy\optimize\_basinhopping.py,hasattr,89
scipy\optimize\_basinhopping.py,hasattr,112
scipy\optimize\_basinhopping.py,hasattr,114
scipy\optimize\_basinhopping.py,hasattr,116
scipy\optimize\_basinhopping.py,hasattr,144
scipy\optimize\_basinhopping.py,hasattr,585
scipy\optimize\_differentialevolution.py,getattr,322
scipy\optimize\_differentialevolution.py,getattr,324
scipy\optimize\_differentialevolution.py,hasattr,344
scipy\optimize\_linprog.py,hasattr,561
scipy\optimize\tests\test_linesearch.py,getattr,105
scipy\optimize\tests\test_linesearch.py,getattr,109
scipy\optimize\tests\test_nonlin.py,hasattr,300
scipy\optimize\tests\test_nonlin.py,hasattr,302
scipy\optimize\tests\test_nonlin.py,hasattr,306
scipy\optimize\tests\test_nonlin.py,hasattr,310
scipy\optimize\tests\test_nonlin.py,hasattr,314
scipy\optimize\tests\test_nonlin.py,hasattr,319
scipy\optimize\tests\test_nonlin.py,hasattr,319
scipy\optimize\tests\test_nonlin.py,hasattr,324
scipy\optimize\tests\test_nonlin.py,hasattr,324
scipy\optimize\tests\test_optimize.py,hasattr,960
scipy\optimize\tests\test__basinhopping.py,hasattr,190
scipy\optimize\_lsq\least_squares.py,delsubscript,885
scipy\optimize\_lsq\lsq_linear.py,delattribute,304
scipy\signal\filter_design.py,delname,1023,p
scipy\signal\filter_design.py,delname,1023,z
scipy\signal\spectral.py,hasattr,797
scipy\signal\_peak_finding.py,delsubscript,343
scipy\signal\tests\test_windows.py,getattr,207
scipy\sparse\base.py,getattr,150
scipy\sparse\base.py,getattr,215
scipy\sparse\base.py,getattr,824
scipy\sparse\base.py,delsubscript,831
