<<__future__>> <<17:727-737>> <<module>> <<VARIABLE>> <<ANCHOR>>
<<__metaclass__>> <<18:790-803>> <<function>> <<SCOPE>> <<ANCHOR>>
<<LookupModule>> <<26:1011-1023>> <<type>> <<CLASS>> <<ANCHOR>>
<<_lookup_variables>> <<34:1242-1259>> <<function>> <<METHOD>> <<ANCHOR>>
<<run>> <<41:1501-1504>> <<function>> <<METHOD>> <<ANCHOR>>
<<self>> <<41:1505-1509>> <<LookupModule>> <<PARAMETER>> <<ANCHOR>>
<<terms>> <<41:1511-1516>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<variables>> <<41:1518-1527>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<None>> <<41:1528-1532>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<self>> <<34:1260-1264>> <<LookupModule>> <<PARAMETER>> <<ANCHOR>>
<<terms>> <<34:1266-1271>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<results>> <<35:1283-1290>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<x>> <<36:1309-1310>> <<?>> <<SCOPE>> <<ANCHOR>>
<<intermediate>> <<37:1334-1346>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<terms>> <<43:1556-1561>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<my_list>> <<45:1605-1612>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<x>> <<49:1787-1788>> <<?>> <<SCOPE>> <<ANCHOR>>
<<absolute_import>> <<17:746-761>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<division>> <<17:763-771>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<print_function>> <<17:773-787>> <<_Feature>> <<VARIABLE>> <<LINK>>
<<self>> <<43:1564-1568>> <<LookupModule>> <<VARIABLE>> <<LINK>>
<<_lookup_variables>> <<43:1569-1586>> <<function>> <<VARIABLE>> <<LINK>>
<<terms>> <<43:1587-1592>> <<?>> <<VARIABLE>> <<LINK>>
<<terms>> <<36:1314-1319>> <<?>> <<VARIABLE>> <<LINK>>
<<x>> <<37:1377-1378>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<37:1388-1392>> <<LookupModule>> <<VARIABLE>> <<LINK>>
<<self>> <<37:1410-1414>> <<LookupModule>> <<VARIABLE>> <<LINK>>
<<results>> <<38:1437-1444>> <<list>> <<VARIABLE>> <<LINK>>
<<intermediate>> <<38:1452-1464>> <<?>> <<VARIABLE>> <<LINK>>
<<results>> <<39:1482-1489>> <<list>> <<VARIABLE>> <<LINK>>
<<terms>> <<45:1615-1620>> <<list>> <<VARIABLE>> <<LINK>>
<<my_list>> <<46:1640-1647>> <<list>> <<VARIABLE>> <<LINK>>
<<None>> <<49:1825-1829>> <<?>> <<VARIABLE>> <<LINK>>
<<my_list>> <<49:1806-1813>> <<list>> <<VARIABLE>> <<LINK>>
<<x>> <<49:1787-1788>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<49:1766-1770>> <<LookupModule>> <<VARIABLE>> <<LINK>>
<<x>> <<49:1780-1781>> <<?>> <<VARIABLE>> <<LINK>>
