<<name>> <<73:3117-3121>> <<?>> <<VARIABLE>> <<LINK>>
<<value>> <<73:3123-3128>> <<?>> <<VARIABLE>> <<LINK>>
<<connection>> <<27:1254-1264>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<27:1236-1240>> <<Activity>> <<VARIABLE>> <<LINK>>
<<self>> <<28:1274-1278>> <<Activity>> <<VARIABLE>> <<LINK>>
<<start_time>> <<28:1279-1289>> <<type>> <<VARIABLE>> <<LINK>>
<<self>> <<29:1306-1310>> <<Activity>> <<VARIABLE>> <<LINK>>
<<end_time>> <<29:1311-1319>> <<type>> <<VARIABLE>> <<LINK>>
<<self>> <<30:1336-1340>> <<Activity>> <<VARIABLE>> <<LINK>>
<<activity_id>> <<30:1341-1352>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<31:1369-1373>> <<Activity>> <<VARIABLE>> <<LINK>>
<<progress>> <<31:1374-1382>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<32:1399-1403>> <<Activity>> <<VARIABLE>> <<LINK>>
<<status_code>> <<32:1404-1415>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<33:1432-1436>> <<Activity>> <<VARIABLE>> <<LINK>>
<<cause>> <<33:1437-1442>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<34:1459-1463>> <<Activity>> <<VARIABLE>> <<LINK>>
<<description>> <<34:1464-1475>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<35:1492-1496>> <<Activity>> <<VARIABLE>> <<LINK>>
<<status_message>> <<35:1497-1511>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<36:1528-1532>> <<Activity>> <<VARIABLE>> <<LINK>>
<<group_name>> <<36:1533-1543>> <<?>> <<VARIABLE>> <<LINK>>
