<<v>> <<84:2456-2457>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<tertiary>> <<84:2471-2479>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<final>> <<85:2493-2498>> <<bool>> <<VARIABLE>> <<LINK>>
<<type_num>> <<86:2512-2520>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<v>> <<87:2535-2536>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<type_>> <<87:2546-2551>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<type_num>> <<87:2564-2572>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<v>> <<89:2602-2603>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<type_>> <<89:2617-2622>> <<{str||int}>> <<VARIABLE>> <<LINK>>
<<v>> <<91:2643-2644>> <<{str||tuple}>> <<VARIABLE>> <<LINK>>
<<v>> <<92:2684-2685>> <<{str||tuple||int}>> <<VARIABLE>> <<LINK>>
<<versions>> <<92:2662-2670>> <<dict>> <<VARIABLE>> <<LINK>>
<<form>> <<97:2763-2767>> <<str>> <<VARIABLE>> <<LINK>>
<<versions>> <<98:2798-2806>> <<dict>> <<VARIABLE>> <<LINK>>
<<versions>> <<95:2714-2722>> <<dict>> <<VARIABLE>> <<LINK>>
<<form>> <<95:2723-2727>> <<str>> <<VARIABLE>> <<LINK>>
<<get_version>> <<104:2957-2968>> <<function>> <<VARIABLE>> <<LINK>>
<<Popen>> <<18:488-493>> <<type>> <<VARIABLE>> <<LINK>>
<<loc>> <<19:556-559>> <<str>> <<VARIABLE>> <<LINK>>
<<PIPE>> <<21:606-610>> <<int>> <<VARIABLE>> <<LINK>>
<<PIPE>> <<22:632-636>> <<int>> <<VARIABLE>> <<LINK>>
<<p>> <<24:664-665>> <<Popen>> <<VARIABLE>> <<LINK>>
<<communicate>> <<24:666-677>> <<function>> <<VARIABLE>> <<LINK>>
