<<configuration>> <<4:22-35>> <<function>> <<FUNCTION>> <<ANCHOR>>
<<parent_package>> <<4:36-50>> <<str>> <<PARAMETER>> <<ANCHOR>>
<<top_path>> <<4:55-63>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<config>> <<7:135-141>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<parent_package>> <<7:173-187>> <<str>> <<VARIABLE>> <<LINK>>
<<top_path>> <<7:189-197>> <<None>> <<VARIABLE>> <<LINK>>
<<config>> <<9:206-212>> <<?>> <<VARIABLE>> <<LINK>>
<<config>> <<14:435-441>> <<?>> <<VARIABLE>> <<LINK>>
<<config>> <<20:677-683>> <<?>> <<VARIABLE>> <<LINK>>
