file,method,params,startLineno,endLineno,affectedLineno,affectedOffsets,affectedVar,affectedTypes
fabric\auth.py,get_password,"user, host, port",6,10,10,283-294,host_string,"str,tuple,tuple"
fabric\auth.py,set_password,"user, host, port, password",13,17,17,534-545,host_string,"str,tuple,tuple"
fabric\decorators.py,_list_annotating_decorator,"attribute, *values",49,63,62,2076-2091,inner_decorator,"function,WrappedCallableTask"
fabric\decorators.py,runs_once,func,122,143,143,5172-5181,decorated,"function,WrappedCallableTask"
fabric\decorators.py,runs_once,func,122,143,138,4923-4932,decorated,"function,WrappedCallableTask"
fabric\decorators.py,runs_once,func,122,143,139,4964-4973,decorated,"function,WrappedCallableTask"
fabric\decorators.py,runs_once,func,122,143,140,5027-5036,decorated,"function,WrappedCallableTask"
fabric\io.py,loop,self,61,172,152,5734-5741,capture,"str,list"
fabric\io.py,loop,self,61,172,154,5823-5830,_buffer,"list,str"
fabric\io.py,__init__,"self, chan, attr, stream, capture, timeout",36,50,50,1365-1371,prefix,"str,tuple"
fabric\io.py,loop,self,61,172,81,2569-2575,prefix,"str,tuple"
fabric\io.py,loop,self,61,172,152,5745-5753,fragment,"str,list"
fabric\io.py,loop,self,61,172,154,5834-5842,fragment,"str,list"
fabric\io.py,_get_prompt_response,self,215,223,221,9030-9037,capture,"str,list"
fabric\io.py,_endswith,"char_list, substring",21,24,22,454-463,char_list,"str,list"
fabric\io.py,_endswith,"char_list, substring",21,24,24,531-535,tail,"str,list"
fabric\io.py,loop,self,61,172,158,6019-6026,capture,"str,list"
fabric\io.py,loop,self,61,172,161,6189-6196,capture,"str,list"
fabric\io.py,loop,self,61,172,162,6268-6275,capture,"str,list"
fabric\io.py,loop,self,61,172,163,6349-6356,capture,"str,list"
fabric\io.py,input_loop,"chan, using_pty",226,243,233,9375-9384,have_char,"list,bool,?"
fabric\job_queue.py,append,"self, process",76,91,88,2814-2821,process,"Thread,Process"
fabric\job_queue.py,append,"self, process",76,91,91,2938-2945,process,"Thread,Process"
fabric\main.py,main,fabfile_locations=None,588,761,614,20579-20584,value,"str,list,bool"
fabric\main.py,main,fabfile_locations=None,588,761,614,20572-20575,key,"str,list"
fabric\network.py,prompt_for_password,"prompt=None, no_colon=False, stream=None",588,620,612,23185-23200,password_prompt,"str,tuple,None"
fabric\network.py,connect,"user, host, port, cache, seek_gateway=True",381,580,554,20789-20792,err,"str,tuple"
fabric\network.py,connect,"user, host, port, cache, seek_gateway=True",381,580,555,20823-20826,err,"str,tuple"
fabric\network.py,connect,"user, host, port, cache, seek_gateway=True",381,580,574,21670-21673,msg,"str,tuple,tuple"
fabric\network.py,prompt_for_password,"prompt=None, no_colon=False, stream=None",588,620,610,23146-23153,default,"str,tuple"
fabric\network.py,prompt_for_password,"prompt=None, no_colon=False, stream=None",588,620,614,23276-23291,password_prompt,"str,tuple,None"
fabric\network.py,_password_prompt,"prompt, stream",583,586,586,22174-22180,prompt,"str,tuple,None"
fabric\network.py,prompt_for_password,"prompt=None, no_colon=False, stream=None",588,620,619,23604-23619,password_prompt,"str,tuple,None"
fabric\network.py,connect,"self, key",138,151,149,5069-5072,key,"str,tuple,tuple"
fabric\network.py,connect,"user, host, port, cache, seek_gateway=True",381,580,558,20923-20926,err,"str,tuple"
fabric\network.py,get_gateway,"host, port, cache, replace=False",60,101,90,2357-2364,gateway,"str,tuple,tuple"
fabric\network.py,get_gateway,"host, port, cache, replace=False",60,101,92,2474-2481,gateway,"str,tuple,tuple"
fabric\network.py,get_gateway,"host, port, cache, replace=False",60,101,93,2531-2538,gateway,"str,tuple,tuple"
fabric\network.py,get_gateway,"host, port, cache, replace=False",60,101,93,2501-2508,gateway,"str,tuple,tuple"
fabric\network.py,get_gateway,"host, port, cache, replace=False",60,101,98,2863-2870,gateway,"str,tuple,tuple"
fabric\network.py,connect,"self, key",138,151,150,5087-5090,key,"str,tuple,tuple"
fabric\network.py,__getitem__,"self, key",153,160,158,5334-5337,key,"str,tuple,tuple"
fabric\network.py,__getitem__,"self, key",153,160,159,5377-5380,key,"str,tuple,tuple"
fabric\network.py,__getitem__,"self, key",153,160,160,5421-5424,key,"str,tuple,tuple"
fabric\operations.py,_shell_wrap,"command, shell_escape, shell=True, sudo_prefix=None",624,647,636,26814-26825,sudo_prefix,"str,tuple,_AttributeDict"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,944,38796-38799,msg,"str,tuple,int"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,946,38864-38867,msg,"str,tuple,tuple"
fabric\operations.py,require,"*keys, **kwargs",70,136,121,3781-3784,msg,"str,tuple,tuple"
fabric\operations.py,require,"*keys, **kwargs",70,136,134,4363-4366,msg,"str,tuple,tuple,tuple"
fabric\operations.py,sudo,"command, shell=True, pty=True, combine_stderr=None, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",1068,1118,1115,46226-46233,command,"str,int"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,904,37212-37219,command,"str,int"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,912,37531-37538,command,"str,int"
fabric\operations.py,_prefix_env_vars,"command, local=False",678,721,721,29894-29907,shell_env_str,"str,tuple"
fabric\operations.py,_prefix_env_vars,"command, local=False",678,721,721,29910-29917,command,"str,int"
fabric\operations.py,_prefix_commands,"command, which",650,675,675,28519-28526,command,"str,tuple,int"
fabric\operations.py,_shell_wrap,"command, shell_escape, shell=True, sudo_prefix=None",624,647,633,26747-26758,sudo_prefix,"str,tuple,_AttributeDict"
fabric\operations.py,_shell_wrap,"command, shell_escape, shell=True, sudo_prefix=None",624,647,642,27090-27097,command,"str,tuple,int"
fabric\operations.py,_shell_wrap,"command, shell_escape, shell=True, sudo_prefix=None",624,647,643,27127-27134,command,"str,tuple,int"
fabric\operations.py,_shell_wrap,"command, shell_escape, shell=True, sudo_prefix=None",624,647,647,27237-27248,sudo_prefix,"str,tuple,_AttributeDict"
fabric\operations.py,_shell_wrap,"command, shell_escape, shell=True, sudo_prefix=None",624,647,647,27259-27266,command,"str,tuple,int"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,920,37825-37840,wrapped_command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,922,37933-37946,given_command,"str,int"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,926,38132-38147,wrapped_command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_execute,"channel, command, pty=True, combine_stderr=None, invoke_shell=False, stdout=None, stderr=None, timeout=None",724,848,745,30859-30865,stdout,"StreamRecoder,StringIO,?"
fabric\operations.py,_execute,"channel, command, pty=True, combine_stderr=None, invoke_shell=False, stdout=None, stderr=None, timeout=None",724,848,754,31111-31116,stdin,"StreamRecoder,file"
fabric\operations.py,_execute,"channel, command, pty=True, combine_stderr=None, invoke_shell=False, stdout=None, stderr=None, timeout=None",724,848,780,32231-32238,command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_execute,"channel, command, pty=True, combine_stderr=None, invoke_shell=False, stdout=None, stderr=None, timeout=None",724,848,781,32273-32280,command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_execute,"channel, command, pty=True, combine_stderr=None, invoke_shell=False, stdout=None, stderr=None, timeout=None",724,848,783,32346-32353,command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_execute,"channel, command, pty=True, combine_stderr=None, invoke_shell=False, stdout=None, stderr=None, timeout=None",724,848,844,34803-34813,stdout_buf,"str,list,None"
fabric\operations.py,_execute,"channel, command, pty=True, combine_stderr=None, invoke_shell=False, stdout=None, stderr=None, timeout=None",724,848,844,34822-34832,stdout_buf,"str,list,None"
fabric\operations.py,_execute,"channel, command, pty=True, combine_stderr=None, invoke_shell=False, stdout=None, stderr=None, timeout=None",724,848,845,34886-34896,stderr_buf,"list,str,None"
fabric\operations.py,_execute,"channel, command, pty=True, combine_stderr=None, invoke_shell=False, stdout=None, stderr=None, timeout=None",724,848,845,34905-34915,stderr_buf,"list,str,None"
fabric\operations.py,_execute,"channel, command, pty=True, combine_stderr=None, invoke_shell=False, stdout=None, stderr=None, timeout=None",724,848,848,34974-34984,stdout_buf,"str,list,None"
fabric\operations.py,_execute,"channel, command, pty=True, combine_stderr=None, invoke_shell=False, stdout=None, stderr=None, timeout=None",724,848,848,34986-34996,stderr_buf,"list,str,None"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,931,38350-38363,result_stdout,"str,list"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,932,38397-38410,result_stderr,"list,str"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,936,38491-38504,given_command,"str,int"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,937,38533-38548,wrapped_command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,944,38814-38827,given_command,"str,int"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,947,38931-38944,given_command,"str,int"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,947,38946-38961,wrapped_command,"str,tuple,tuple,int,_AttributeDict"
fabric\operations.py,_run_command,"command, shell=True, pty=True, combine_stderr=True, sudo=False, user=None, quiet=False, warn_only=False, stdout=None, stderr=None, group=None, timeout=None, shell_escape=None",890,961,949,39008-39011,msg,"str,tuple,tuple,int"
fabric\operations.py,run,"command, shell=True, pty=True, combine_stderr=None, quiet=False, warn_only=False, stdout=None, stderr=None, timeout=None, shell_escape=None",964,1065,1063,44190-44197,command,"str,int"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1170,48908-48915,command,"str,tuple,tuple"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1172,48979-48986,command,"str,tuple,tuple"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1173,49040-49048,with_env,"str,tuple,tuple,tuple"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1175,49123-49138,wrapped_command,"str,tuple,tuple,tuple"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1177,49206-49219,given_command,"str,tuple,tuple"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1190,49716-49731,wrapped_command,"str,tuple,tuple,tuple"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1190,49747-49762,wrapped_command,"str,tuple,tuple,tuple"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1191,49794-49801,cmd_arg,"str,list,tuple,tuple,tuple"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1191,49822-49832,out_stream,"int,file,None"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1192,49871-49881,err_stream,"int,file,None"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1201,50284-50297,given_command,"str,tuple,tuple"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1202,50322-50337,wrapped_command,"str,tuple,tuple,tuple"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1208,50594-50601,command,"str,tuple,tuple"
fabric\operations.py,local,"command, capture=False, shell=None",1122,1212,1209,50626-50629,msg,"str,tuple"
fabric\operations.py,require,"*keys, **kwargs",70,136,136,4492-4495,msg,"str,tuple,tuple,tuple"
fabric\state.py,_rc_path,,54,68,68,2211-2227,expanded_rc_path,"str,tuple"
fabric\tasks.py,execute,"task, *args, **kwargs",282,430,338,13003-13006,msg,"str,tuple"
fabric\tasks.py,execute,"task, *args, **kwargs",282,430,341,13074-13077,msg,"str,tuple"
fabric\tasks.py,_execute,"task, host, my_env, args, kwargs, jobs, queue, multiprocessing",213,277,271,10141-10142,p,"Thread,Process"
fabric\tasks.py,_execute,"task, host, my_env, args, kwargs, jobs, queue, multiprocessing",213,277,273,10200-10201,p,"Thread,Process"
fabric\tasks.py,execute,"task, *args, **kwargs",282,430,419,16525-16528,err,"str,bool"
fabric\tasks.py,execute,"task, *args, **kwargs",282,430,421,16612-16615,err,"str,bool"
fabric\tasks.py,__init__,"self, callable, *args, **kwargs",155,168,162,5909-5917,__name__,"str,int"
fabric\tasks.py,__init__,"self, callable, *args, **kwargs",155,168,166,6059-6066,__doc__,"str,int"
fabric\utils.py,error,"message, func=None, exception=None, stdout=None, stderr=None",321,358,352,12734-12741,message,"str,int"
fabric\utils.py,error,"message, func=None, exception=None, stdout=None, stderr=None",321,358,355,12892-12899,message,"str,tuple,int"
fabric\utils.py,error,"message, func=None, exception=None, stdout=None, stderr=None",321,358,357,13019-13026,message,"str,tuple,int"
fabric\utils.py,_pty_size,,282,318,308,10879-10885,result,"str,int"
fabric\utils.py,indent,"text, spaces='4', strip=False",86,111,106,3491-3497,prefix,"str,int"
fabric\utils.py,indent,"text, spaces='4', strip=False",86,111,110,3681-3687,prefix,"str,int"
fabric\utils.py,indent,"text, spaces='4', strip=False",86,111,111,3709-3715,output,"str,int"
fabric\utils.py,warn,msg,65,83,82,2515-2518,msg,"str,int"
fabric\utils.py,_format_error_output,"header, body",361,367,367,13350-13354,side,"str,int"
fabric\utils.py,_format_error_output,"header, body",361,367,367,13364-13368,side,"str,int"
fabric\utils.py,error,"message, func=None, exception=None, stdout=None, stderr=None",321,358,358,13094-13101,message,"str,tuple,int,?"
fabric\utils.py,handle_prompt_abort,prompt_for,173,183,180,6281-6287,reason,"str,tuple"
fabric\utils.py,handle_prompt_abort,prompt_for,173,183,183,6442-6448,reason,"str,tuple"
fabric\version.py,get_version,form='short',31,99,55,1857-1858,x,"str,list"
fabric\version.py,get_version,form='short',31,99,63,1996-1997,v,"str,tuple"
fabric\version.py,get_version,form='short',31,99,65,2049-2050,v,"str,tuple"
fabric\version.py,get_version,form='short',31,99,67,2096-2097,v,"str,tuple"
fabric\version.py,get_version,form='short',31,99,73,2201-2202,v,"str,tuple"
fabric\version.py,get_version,form='short',31,99,76,2280-2281,v,"str,tuple,int"
fabric\version.py,get_version,form='short',31,99,78,2347-2348,v,"str,tuple,int"
fabric\version.py,get_version,form='short',31,99,84,2456-2457,v,"str,tuple"
fabric\version.py,get_version,form='short',31,99,87,2535-2536,v,"str,tuple,int"
fabric\version.py,get_version,form='short',31,99,89,2602-2603,v,"str,tuple,int"
fabric\version.py,get_version,form='short',31,99,91,2643-2644,v,"str,tuple"
fabric\version.py,get_version,form='short',31,99,53,1780-1785,type_,"str,int"
fabric\version.py,get_version,form='short',31,99,55,1862-1867,type_,"str,int"
fabric\version.py,get_version,form='short',31,99,55,1848-1849,x,"str,list"
fabric\version.py,get_version,form='short',31,99,58,1920-1926,branch,"str,tuple"
fabric\version.py,get_version,form='short',31,99,61,1951-1957,branch,"str,tuple"
fabric\version.py,get_version,form='short',31,99,62,1967-1975,tertiary,"str,int"
fabric\version.py,get_version,form='short',31,99,63,2011-2019,tertiary,"str,int"
fabric\version.py,get_version,form='short',31,99,66,2073-2081,type_num,"str,int"
fabric\version.py,get_version,form='short',31,99,67,2105-2113,type_num,"str,int"
fabric\version.py,get_version,form='short',31,99,68,2140-2141,v,"str,tuple"
fabric\version.py,get_version,form='short',31,99,71,2167-2173,branch,"str,tuple"
fabric\version.py,get_version,form='short',31,99,72,2182-2190,tertiary,"str,int"
fabric\version.py,get_version,form='short',31,99,73,2216-2224,tertiary,"str,int"
fabric\version.py,get_version,form='short',31,99,75,2257-2265,type_num,"str,int"
fabric\version.py,get_version,form='short',31,99,76,2291-2296,type_,"str,int"
fabric\version.py,get_version,form='short',31,99,76,2309-2317,type_num,"str,int"
fabric\version.py,get_version,form='short',31,99,78,2362-2367,type_,"str,int"
fabric\version.py,get_version,form='short',31,99,79,2394-2395,v,"str,tuple,int"
fabric\version.py,get_version,form='short',31,99,82,2422-2428,branch,"str,tuple"
fabric\version.py,get_version,form='short',31,99,83,2437-2445,tertiary,"str,int"
fabric\version.py,get_version,form='short',31,99,84,2471-2479,tertiary,"str,int"
fabric\version.py,get_version,form='short',31,99,86,2512-2520,type_num,"str,int"
fabric\version.py,get_version,form='short',31,99,87,2546-2551,type_,"str,int"
fabric\version.py,get_version,form='short',31,99,87,2564-2572,type_num,"str,int"
fabric\version.py,get_version,form='short',31,99,89,2617-2622,type_,"str,int"
fabric\version.py,get_version,form='short',31,99,92,2684-2685,v,"str,tuple,int"
fabric\contrib\files.py,exists,"path, use_sudo=False, verbose=False",18,37,30,838-842,path,"str,int"
fabric\contrib\files.py,_expand_path,path,426,427,427,16619-16623,path,"str,int"
fabric\contrib\files.py,exists,"path, use_sudo=False, verbose=False",18,37,34,957-961,func,"bool,function,function"
fabric\contrib\files.py,exists,"path, use_sudo=False, verbose=False",18,37,34,962-965,cmd,"str,int"
fabric\contrib\files.py,exists,"path, use_sudo=False, verbose=False",18,37,37,1077-1081,func,"bool,function,function"
fabric\contrib\files.py,exists,"path, use_sudo=False, verbose=False",18,37,37,1082-1085,cmd,"str,int"
fabric\contrib\files.py,sed,"filename, before, after, limit='', use_sudo=False, backup='.bak', flags='', shell=False",165,233,233,9028-9032,func,"bool,function,function"
fabric\contrib\files.py,sed,"filename, before, after, limit='', use_sudo=False, backup='.bak', flags='', shell=False",165,233,233,9033-9040,command,"str,dict"
fabric\contrib\files.py,upload_template,"filename, destination, context=None, use_jinja=False, template_dir=None, use_sudo=False, backup=True, mirror_local_mode=False, mode=None, pty=None",69,161,110,3936-3940,func,"bool,function,function"
