file,pattern,lineno
numpy\distutils\misc_util.py,hasattr,324
numpy\distutils\misc_util.py,hasattr,665
numpy\distutils\misc_util.py,getattr,816
numpy\distutils\misc_util.py,hasattr,885
numpy\distutils\misc_util.py,delsubscript,913
numpy\distutils\misc_util.py,delsubscript,1096
numpy\distutils\misc_util.py,hasattr,1258
numpy\distutils\misc_util.py,hasattr,1310
numpy\distutils\misc_util.py,delsubscript,1444
numpy\distutils\misc_util.py,getattr,1688
numpy\distutils\misc_util.py,getattr,1691
numpy\distutils\misc_util.py,getattr,1696
numpy\distutils\misc_util.py,getattr,1704
numpy\distutils\misc_util.py,getattr,1718
numpy\distutils\misc_util.py,getattr,1892
numpy\distutils\misc_util.py,getattr,1927
numpy\distutils\misc_util.py,delsubscript,2179
numpy\distutils\misc_util.py,delsubscript,2180
numpy\distutils\system_info.py,delsubscript,517
numpy\distutils\system_info.py,hasattr,559
numpy\distutils\system_info.py,getattr,609
numpy\distutils\system_info.py,getattr,1896
numpy\distutils\system_info.py,getattr,1925
numpy\distutils\system_info.py,delsubscript,2394
numpy\distutils\command\build_ext.py,hasattr,323
numpy\distutils\command\build_ext.py,hasattr,324
numpy\distutils\command\build_src.py,getattr,141
numpy\distutils\command\build_src.py,getattr,143
numpy\distutils\command\build_src.py,hasattr,190
numpy\distutils\command\build_src.py,hasattr,191
numpy\distutils\command\build_src.py,hasattr,251
numpy\distutils\command\build_src.py,hasattr,278
numpy\distutils\command\config_compiler.py,getattr,68
numpy\distutils\command\config_compiler.py,getattr,79
numpy\distutils\command\config_compiler.py,getattr,109
numpy\distutils\command\config_compiler.py,getattr,120
numpy\distutils\fcompiler\mips.py,getattr,34
numpy\distutils\fcompiler\__init__.py,getattr,321
numpy\distutils\fcompiler\__init__.py,getattr,493
numpy\distutils\fcompiler\__init__.py,getattr,494
numpy\distutils\fcompiler\__init__.py,getattr,499
numpy\distutils\fcompiler\__init__.py,getattr,500
numpy\distutils\fcompiler\__init__.py,hasattr,548
numpy\distutils\fcompiler\__init__.py,getattr,549
numpy\distutils\fcompiler\__init__.py,getattr,688
numpy\distutils\fcompiler\__init__.py,getattr,699
numpy\distutils\fcompiler\__init__.py,hasattr,742
numpy\distutils\fcompiler\__init__.py,getattr,744
numpy\doc\constants.py,delname,390,constants_str
numpy\doc\constants.py,delname,390,name
numpy\doc\constants.py,delname,390,doc
numpy\doc\constants.py,delname,391,line
numpy\doc\constants.py,delname,391,lines
numpy\doc\constants.py,delname,391,new_lines
numpy\doc\constants.py,delname,391,m
numpy\doc\constants.py,delname,391,s
numpy\doc\constants.py,delname,391,prev
numpy\doc\constants.py,delname,393,constants
numpy\doc\constants.py,delname,393,add_newdoc
numpy\doc\__init__.py,delname,13,f
numpy\doc\__init__.py,delname,13,ref_dir
numpy\f2py\auxfuncs.py,delsubscript,853
numpy\f2py\cfuncs.py,delsubscript,1238
numpy\f2py\cfuncs.py,delsubscript,1249
numpy\f2py\crackfortran.py,delname,249,c
numpy\f2py\crackfortran.py,delsubscript,676
numpy\f2py\crackfortran.py,delsubscript,681
numpy\f2py\crackfortran.py,delsubscript,685
numpy\f2py\crackfortran.py,delsubscript,760
numpy\f2py\crackfortran.py,delsubscript,1019
numpy\f2py\crackfortran.py,delsubscript,1037
