file,method,params,startlineno,endlineno
benchmarks\benchmarks\bench_indexing.py,time_mmap_fancy_indexing,self,47,49
benchmarks\benchmarks\bench_indexing.py,setup,self,53,60
benchmarks\benchmarks\bench_indexing.py,time_array_slice,self,62,63
benchmarks\benchmarks\bench_indexing.py,time_array_all,self,65,66
benchmarks\benchmarks\bench_indexing.py,time_scalar_slice,self,68,69
benchmarks\benchmarks\bench_indexing.py,time_scalar_all,self,71,72
benchmarks\benchmarks\bench_io.py,setup,"self, typename",13,18
benchmarks\benchmarks\bench_io.py,time_memcpy,"self, typename",20,21
benchmarks\benchmarks\bench_io.py,time_cont_assign,"self, typename",23,24
benchmarks\benchmarks\bench_io.py,time_strided_copy,"self, typename",26,27
benchmarks\benchmarks\bench_io.py,time_strided_assign,"self, typename",29,30
benchmarks\benchmarks\bench_io.py,setup,self,34,41
benchmarks\benchmarks\bench_io.py,time_copyto,self,43,44
benchmarks\benchmarks\bench_io.py,time_copyto_sparse,self,46,47
benchmarks\benchmarks\bench_io.py,time_copyto_dense,self,49,50
benchmarks\benchmarks\bench_io.py,time_copyto_8_sparse,self,52,53
benchmarks\benchmarks\bench_io.py,time_copyto_8_dense,self,55,56
benchmarks\benchmarks\bench_io.py,setup,self,60,61
benchmarks\benchmarks\bench_io.py,time_vb_savez_squares,self,63,64
benchmarks\benchmarks\bench_linalg.py,setup,self,9,16
benchmarks\benchmarks\bench_linalg.py,time_einsum_ij_jk_a_b,self,18,19
benchmarks\benchmarks\bench_linalg.py,time_dot_a_b,self,21,22
benchmarks\benchmarks\bench_linalg.py,time_einsum_i_ij_j,self,24,25
benchmarks\benchmarks\bench_linalg.py,time_dot_d_dot_b_c,self,27,28
benchmarks\benchmarks\bench_linalg.py,time_einsum_ijk_jil_kl,self,30,31
benchmarks\benchmarks\bench_linalg.py,time_tensordot_a_b_axes_1_0_0_1,self,33,34
benchmarks\benchmarks\bench_linalg.py,setup,"self, op, typename",42,58
benchmarks\benchmarks\bench_linalg.py,time_op,"self, op, typename",60,61
benchmarks\benchmarks\bench_linalg.py,setup,self,65,67
benchmarks\benchmarks\bench_linalg.py,time_numpy_linalg_lstsq_a__b_float64,self,69,70
benchmarks\benchmarks\bench_random.py,setup,"self, name",12,18
benchmarks\benchmarks\bench_random.py,time_rng,"self, name",20,21
benchmarks\benchmarks\bench_random.py,setup,self,25,26
benchmarks\benchmarks\bench_random.py,time_100000,self,28,29
benchmarks\benchmarks\bench_reduce.py,setup,self,9,10
benchmarks\benchmarks\bench_reduce.py,time_axis_0,self,12,13
benchmarks\benchmarks\bench_reduce.py,time_axis_1,self,15,16
benchmarks\benchmarks\bench_reduce.py,setup,"self, axis, typename",23,24
benchmarks\benchmarks\bench_reduce.py,time_reduce,"self, axis, typename",26,27
benchmarks\benchmarks\bench_reduce.py,setup,self,31,33
benchmarks\benchmarks\bench_reduce.py,time_all_fast,self,35,36
benchmarks\benchmarks\bench_reduce.py,time_all_slow,self,38,39
benchmarks\benchmarks\bench_reduce.py,time_any_fast,self,41,42
benchmarks\benchmarks\bench_reduce.py,time_any_slow,self,44,45
benchmarks\benchmarks\bench_reduce.py,setup,"self, dtype",52,53
benchmarks\benchmarks\bench_reduce.py,time_min,"self, dtype",55,56
benchmarks\benchmarks\bench_reduce.py,time_max,"self, dtype",58,59
benchmarks\benchmarks\bench_reduce.py,setup,self,63,64
benchmarks\benchmarks\bench_reduce.py,time_small,self,66,67
benchmarks\benchmarks\bench_ufunc.py,setup,self,31,33
benchmarks\benchmarks\bench_ufunc.py,time_broadcast,self,35,36
benchmarks\benchmarks\bench_ufunc.py,setup,"self, ufuncname",44,57
benchmarks\benchmarks\bench_ufunc.py,time_ufunc_types,"self, ufuncname",59,60
benchmarks\benchmarks\bench_ufunc.py,setup,self,64,65
benchmarks\benchmarks\bench_ufunc.py,time_nonzero,self,67,68
benchmarks\benchmarks\bench_ufunc.py,time_count_nonzero,self,70,71
benchmarks\benchmarks\bench_ufunc.py,time_not_bool,self,73,74
benchmarks\benchmarks\bench_ufunc.py,time_and_bool,self,76,77
benchmarks\benchmarks\bench_ufunc.py,time_or_bool,self,79,80
benchmarks\benchmarks\bench_ufunc.py,setup,"self, dtype",87,88
benchmarks\benchmarks\bench_ufunc.py,time_add_scalar2,"self, dtype",90,91
benchmarks\benchmarks\bench_ufunc.py,time_divide_scalar2,"self, dtype",93,94
benchmarks\benchmarks\bench_ufunc.py,time_divide_scalar2_inplace,"self, dtype",96,97
benchmarks\benchmarks\bench_ufunc.py,time_less_than_scalar2,"self, dtype",99,100
benchmarks\benchmarks\bench_ufunc.py,setup,self,104,107
benchmarks\benchmarks\bench_ufunc.py,time_add_scalar,self,109,110
benchmarks\benchmarks\bench_ufunc.py,time_add_scalar_conv,self,112,113
benchmarks\benchmarks\bench_ufunc.py,time_add_scalar_conv_complex,self,115,116
benchmarks\benchmarks\common.py,memoize,func,29,35
benchmarks\benchmarks\common.py,wrapper,,31,34
benchmarks\benchmarks\common.py,get_values,,42,46
benchmarks\benchmarks\common.py,get_squares,,49,61
benchmarks\benchmarks\common.py,get_squares_,,64,68
benchmarks\benchmarks\common.py,get_vectors,,71,75
benchmarks\benchmarks\common.py,get_indexes,,78,86
benchmarks\benchmarks\common.py,get_indexes_rand,,89,96
benchmarks\benchmarks\common.py,get_indexes_,,99,104
benchmarks\benchmarks\common.py,get_indexes_rand_,,107,111
doc\example.py,foo,"var1, var2, long_var_name='hi'",38,123
doc\postprocess.py,main,,15,39
doc\postprocess.py,process_html,"fn, lines",41,42
doc\postprocess.py,process_tex,lines,44,60
doc\summarize.py,main,,58,96
doc\summarize.py,check_numpy,,98,113
doc\summarize.py,get_undocumented,"documented, module, module_name=None, skip=[]",115,145
doc\summarize.py,format_in_columns,"lst, max_columns",147,170
doc\cdoc\numpyfilter.py,main,,24,42
doc\cdoc\numpyfilter.py,filter_comment,text,44,51
doc\cdoc\numpyfilter.py,process_match,"m, cache=None",53,71
doc\cdoc\numpyfilter.py,load_cache,,73,84
doc\cdoc\numpyfilter.py,save_cache,cache,86,92
doc\cdoc\numpyfilter.py,render_html,text,94,114
doc\f2py\pytest.py,foo,a,5,11
doc\newdtype_example\setup.py,configuration,"parent_package='', top_path=None",5,11
doc\source\conf.py,linkcode_resolve,"domain, info",286,331
numpy\ctypeslib.py,_dummy,"*args, **kwds",67,77
numpy\ctypeslib.py,load_library,"libname, loader_path",91,155
numpy\ctypeslib.py,_num_fromflags,flaglist,160,164
numpy\ctypeslib.py,_flags_fromnum,num,168,174
numpy\ctypeslib.py,_check_retval_,self,179,183
numpy\ctypeslib.py,__array_interface__,self,185,193
numpy\ctypeslib.py,from_param,"cls, obj",196,213
numpy\ctypeslib.py,ndpointer,"dtype=None, ndim=None, shape=None, flags=None",219,319
numpy\ctypeslib.py,prep_simple,"simple_type, dtype",330,351
numpy\ctypeslib.py,__array_interface__,self,341,348
numpy\ctypeslib.py,prep_array,array_type,369,397
numpy\ctypeslib.py,__array_interface__,self,387,394
numpy\ctypeslib.py,prep_pointer,"pointer_obj, shape",399,416
numpy\ctypeslib.py,as_array,"obj, shape=None",421,435
numpy\ctypeslib.py,as_ctypes,obj,437,453
numpy\dual.py,register_func,"name, func",52,57
numpy\dual.py,restore_func,name,59,67
numpy\dual.py,restore_all,,69,71
numpy\matlib.py,empty,"shape, dtype=None, order='C'",13,49
numpy\matlib.py,ones,"shape, dtype=None, order='C'",51,94
numpy\matlib.py,zeros,"shape, dtype=None, order='C'",96,138
numpy\matlib.py,identity,"n, dtype=None",140,174
numpy\matlib.py,eye,"n, M=None, k='0', dtype=float",176,213
numpy\matlib.py,rand,*args,215,258
numpy\matlib.py,randn,*args,260,308
numpy\matlib.py,repmat,"a, m, n",310,358
numpy\setup.py,configuration,"parent_package='', top_path=None",5,25
numpy\_import_tools.py,__init__,"self, verbose=False, infunc=False",10,30
