<<self>> <<52:1821-1825>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<get_all_children_rec>> <<52:1826-1846>> <<function>> <<VARIABLE>> <<LINK>>
<<self>> <<52:1847-1851>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<node>> <<55:1927-1931>> <<?>> <<VARIABLE>> <<LINK>>
<<node>> <<56:1953-1957>> <<?>> <<VARIABLE>> <<LINK>>
<<stack>> <<57:1974-1979>> <<list>> <<VARIABLE>> <<LINK>>
<<stack>> <<58:2001-2006>> <<list>> <<VARIABLE>> <<LINK>>
<<self>> <<59:2039-2043>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<cached_relations>> <<59:2044-2060>> <<defaultdict>> <<VARIABLE>> <<LINK>>
<<node>> <<59:2061-2065>> <<None>> <<VARIABLE>> <<LINK>>
<<child>> <<60:2088-2093>> <<?>> <<VARIABLE>> <<LINK>>
<<visited>> <<60:2103-2110>> <<list>> <<VARIABLE>> <<LINK>>
<<child>> <<62:2165-2170>> <<?>> <<VARIABLE>> <<LINK>>
<<visited>> <<63:2188-2195>> <<list>> <<VARIABLE>> <<LINK>>
<<node>> <<63:2200-2204>> <<None>> <<VARIABLE>> <<LINK>>
<<stack>> <<64:2223-2228>> <<list>> <<VARIABLE>> <<LINK>>
<<child>> <<64:2236-2241>> <<?>> <<VARIABLE>> <<LINK>>
<<root_ci>> <<22:598-605>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<22:583-587>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<relation_types>> <<28:800-814>> <<list>> <<VARIABLE>> <<LINK>>
<<default_relation_types>> <<29:851-873>> <<list>> <<VARIABLE>> <<LINK>>
<<self>> <<29:829-833>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<relation_types>> <<31:924-938>> <<list>> <<VARIABLE>> <<LINK>>
<<self>> <<31:902-906>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<relation_types>> <<31:907-921>> <<list>> <<VARIABLE>> <<LINK>>
<<self>> <<32:948-952>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<build_graph>> <<32:953-964>> <<function>> <<VARIABLE>> <<LINK>>
<<self>> <<91:3173-3177>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<get_all_children>> <<91:3178-3194>> <<function>> <<VARIABLE>> <<LINK>>
<<self>> <<93:3294-3298>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<root_ci>> <<93:3299-3306>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<97:3490-3494>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<root_ci>> <<97:3495-3502>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<102:3692-3696>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<root_ci>> <<102:3697-3704>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<106:3833-3837>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<root_ci>> <<106:3838-3845>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<110:3976-3980>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<root_ci>> <<110:3981-3988>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<115:4201-4205>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<root_ci>> <<115:4206-4213>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<119:4328-4332>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<self>> <<120:4380-4384>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<graph>> <<120:4385-4390>> <<?>> <<VARIABLE>> <<LINK>>
<<ci_contains>> <<122:4469-4480>> <<None>> <<VARIABLE>> <<LINK>>
<<relation>> <<123:4504-4512>> <<?>> <<VARIABLE>> <<LINK>>
<<relation>> <<124:4544-4552>> <<?>> <<VARIABLE>> <<LINK>>
<<relation>> <<125:4583-4591>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<126:4613-4617>> <<ImpactCalculator>> <<VARIABLE>> <<LINK>>
<<add_edge>> <<126:4618-4626>> <<function>> <<VARIABLE>> <<LINK>>
<<type_>> <<126:4627-4632>> <<?>> <<VARIABLE>> <<LINK>>
<<parent>> <<126:4634-4640>> <<?>> <<VARIABLE>> <<LINK>>
