file,method,params,startlineno,endlineno
borg\cache.py,fetch_and_build_idx,"archive_id, repository, key",258,288
borg\cache.py,lookup_name,archive_id,290,293
borg\cache.py,create_master_idx,chunk_idx,295,325
borg\cache.py,legacy_cleanup,,327,340
borg\cache.py,add_chunk,"self, id, data, stats",350,361
borg\cache.py,seen_chunk,"self, id, size=None",363,370
borg\cache.py,chunk_incref,"self, id, stats",372,378
borg\cache.py,chunk_decref,"self, id, stats",380,390
borg\cache.py,file_known_and_unchanged,"self, path_hash, st",392,407
borg\cache.py,memorize_file,"self, path_hash, st, ids",409,415
borg\fuse.py,__init__,self,20,22
borg\fuse.py,add,"self, item",24,27
borg\fuse.py,get,"self, inode",29,31
borg\fuse.py,__init__,"self, key, repository, manifest, archive",37,61
borg\fuse.py,process_archive,"self, archive, prefix=[]",63,101
borg\fuse.py,allocate_inode,self,103,105
borg\fuse.py,statfs,self,107,117
borg\fuse.py,get_item,"self, inode",119,123
borg\fuse.py,_find_inode,"self, path, prefix=[]",125,130
borg\fuse.py,getattr,"self, inode",132,166
borg\fuse.py,listxattr,"self, inode",168,170
borg\fuse.py,getxattr,"self, inode, name",172,177
borg\fuse.py,_load_pending_archive,"self, inode",179,183
borg\fuse.py,lookup,"self, parent_inode, name",185,195
borg\fuse.py,open,"self, inode, flags",197,198
borg\fuse.py,opendir,"self, inode",200,202
borg\fuse.py,read,"self, fh, offset, size",204,218
borg\fuse.py,readdir,"self, fh, off",220,224
borg\fuse.py,readlink,"self, inode",226,228
borg\fuse.py,mount,"self, mountpoint, extra_options, foreground=False",230,240
borg\helpers.py,get_terminal_size,"fallback=('80', '24')",13,15
borg\helpers.py,get_message,self,50,51
borg\helpers.py,check_extension_modules,,67,76
borg\helpers.py,__init__,"self, key, repository",83,87
borg\helpers.py,load,"cls, repository, key=None",89,106
borg\helpers.py,write,self,108,117
borg\helpers.py,list_archive_infos,"self, sort_by=None, reverse=False",119,129
borg\helpers.py,prune_within,"archives, within",132,142
borg\helpers.py,prune_split,"archives, pattern, n, skip=[]",145,158
borg\helpers.py,__init__,self,163,165
borg\helpers.py,update,"self, size, csize, unique",167,171
borg\helpers.py,__str__,self,177,178
borg\helpers.py,__repr__,self,180,181
borg\helpers.py,osize_fmt,self,183,185
borg\helpers.py,usize_fmt,self,187,189
borg\helpers.py,csize_fmt,self,191,193
borg\helpers.py,show_progress,"self, item=None, final=False, stream=None, dt=None",195,210
borg\helpers.py,get_keys_dir,,213,216
borg\helpers.py,get_cache_dir,,219,222
borg\helpers.py,to_localtime,ts,225,227
borg\helpers.py,parse_timestamp,timestamp,230,235
borg\helpers.py,update_excludes,args,238,248
borg\helpers.py,adjust_patterns,"paths, excludes",251,255
borg\helpers.py,exclude_path,"path, patterns",258,265
borg\helpers.py,normalized,func,274,289
borg\helpers.py,normalize_wrapper,"self, path",278,280
borg\helpers.py,__init__,"self, pattern",298,305
borg\helpers.py,match,"self, path",307,312
borg\helpers.py,__repr__,self,314,315
borg\helpers.py,__str__,self,317,318
