file,method,params,startLineno,endLineno,affectedLineno,affectedOffsets,affectedVar,affectedTypes
borg\support\argparse.py,_format_usage,"self, usage, actions, groups, prefix",293,383,383,13986-13991,usage,"dict,str,?"
borg\support\argparse.py,_format_action,"self, action",488,533,514,19178-19191,action_header,"str,tuple,tuple"
borg\support\argparse.py,_format_action,"self, action",488,533,525,19677-19690,action_header,"str,tuple,tuple"
borg\testsuite\archiver.py,create_regular_file,"self, name, size='0', contents=None",244,251,251,9341-9349,contents,"str,int,?"
borg\testsuite\chunker.py,test_chunkify,self,10,24,12,370-374,data,"str,int"
borg\testsuite\chunker.py,test_chunkify,self,10,24,14,464-468,data,"str,int"
borg\testsuite\compress.py,test_lzma,,53,60,57,1552-1556,data,"str,int"
borg\testsuite\compress.py,test_lzma,,53,60,58,1587-1591,data,"str,int"
borg\testsuite\compress.py,test_lzma,,53,60,59,1605-1609,data,"str,int"
borg\testsuite\compress.py,test_lzma,,53,60,60,1645-1649,data,"str,int"
borg\testsuite\compress.py,test_zlib,,45,50,47,1246-1250,data,"str,int"
borg\testsuite\compress.py,test_zlib,,45,50,48,1281-1285,data,"str,int"
borg\testsuite\compress.py,test_zlib,,45,50,49,1299-1303,data,"str,int"
borg\testsuite\compress.py,test_zlib,,45,50,50,1339-1343,data,"str,int"
borg\testsuite\compress.py,test_zlib_compat,,70,81,75,2224-2228,data,"str,int"
borg\testsuite\compress.py,test_zlib_compat,,70,81,76,2262-2266,data,"str,int"
borg\testsuite\compress.py,test_zlib_compat,,70,81,79,2362-2366,data,"str,int"
borg\testsuite\compress.py,test_zlib_compat,,70,81,81,2449-2453,data,"str,int"
borg\testsuite\compress.py,test_cnull,,28,34,30,688-692,data,"str,int"
borg\testsuite\compress.py,test_cnull,,28,34,31,723-727,data,"str,int"
borg\testsuite\compress.py,test_cnull,,28,34,32,741-745,data,"str,int"
borg\testsuite\compress.py,test_cnull,,28,34,33,812-816,data,"str,int"
borg\testsuite\compress.py,test_cnull,,28,34,34,852-856,data,"str,int"
borg\testsuite\compress.py,test_compressor,,84,100,100,3084-3088,data,"str,int"
borg\testsuite\compress.py,test_compressor,,84,100,100,3116-3120,data,"str,int"
borg\testsuite\compress.py,test_lz4,,37,42,39,1009-1013,data,"str,int"
borg\testsuite\compress.py,test_lz4,,37,42,40,1044-1048,data,"str,int"
borg\testsuite\compress.py,test_lz4,,37,42,41,1062-1066,data,"str,int"
borg\testsuite\compress.py,test_lz4,,37,42,42,1102-1106,data,"str,int"
borg\testsuite\crypto.py,test_aes,self,31,45,35,1422-1425,key,"str,int"
borg\testsuite\crypto.py,test_aes,self,31,45,37,1512-1516,data,"str,int"
borg\testsuite\crypto.py,test_aes,self,31,45,41,1742-1745,key,"str,int"
borg\testsuite\crypto.py,test_aes,self,31,45,44,1866-1870,data,"str,int"
borg\testsuite\helpers.py,tests_stats_progress,"stats, columns='80'",423,441,429,19317-19320,buf,"str,int"
borg\testsuite\helpers.py,tests_stats_progress,"stats, columns='80'",423,441,436,19580-19583,buf,"str,int"
borg\testsuite\helpers.py,tests_stats_progress,"stats, columns='80'",423,441,441,19851-19854,buf,"str,int"
