file,pattern,lineno
IPython\extensions\autoreload.py,delsubscript,405
IPython\extensions\storemagic.py,delsubscript,144
IPython\extensions\storemagic.py,delsubscript,150
IPython\extensions\storemagic.py,getattr,224
IPython\extensions\tests\test_autoreload.py,delsubscript,90
IPython\extensions\tests\test_autoreload.py,hasattr,253
IPython\extensions\tests\test_autoreload.py,hasattr,265
IPython\extensions\tests\test_autoreload.py,hasattr,266
IPython\extensions\tests\test_storemagic.py,delsubscript,38
IPython\external\decorators\_numpy_testing_noseclasses.py,getattr,37
IPython\lib\backgroundjobs.py,delsubscript,324
IPython\lib\backgroundjobs.py,hasattr,392
IPython\lib\deepreload.py,hasattr,77
IPython\lib\deepreload.py,hasattr,186
IPython\lib\deepreload.py,hasattr,229
IPython\lib\deepreload.py,hasattr,232
IPython\lib\deepreload.py,hasattr,245
IPython\lib\deepreload.py,getattr,299
IPython\lib\demo.py,hasattr,231
IPython\lib\demo.py,hasattr,267
IPython\lib\demo.py,hasattr,269
IPython\lib\guisupport.py,hasattr,89
IPython\lib\guisupport.py,hasattr,123
IPython\lib\inputhook.py,delsubscript,183
IPython\lib\inputhookqt4.py,hasattr,72
IPython\lib\inputhookwx.py,delname,52,ea
IPython\lib\inputhookwx.py,delname,155,ea
IPython\lib\pretty.py,getattr,108
IPython\lib\pretty.py,hasattr,300
IPython\lib\pretty.py,delsubscript,476
IPython\lib\pretty.py,delsubscript,481
IPython\lib\pretty.py,getattr,515
IPython\lib\pretty.py,getattr,655
IPython\lib\pretty.py,getattr,712
IPython\lib\pretty.py,getattr,717
IPython\sphinxext\ipython_directive.py,delsubscript,699
IPython\terminal\interactiveshell.py,getattr,224
IPython\terminal\interactiveshell.py,hasattr,399
IPython\terminal\tests\test_interactivshell.py,delname,75,tb
IPython\terminal\tests\test_interactivshell.py,hasattr,100
IPython\terminal\tests\test_interactivshell.py,delattribute,101
IPython\terminal\tests\test_interactivshell.py,hasattr,105
IPython\terminal\tests\test_interactivshell.py,hasattr,125
IPython\terminal\tests\test_interactivshell.py,hasattr,138
IPython\terminal\tests\test_interactivshell.py,hasattr,162
IPython\terminal\tests\test_interactivshell.py,hasattr,194
IPython\testing\globalipapp.py,getattr,54
IPython\testing\globalipapp.py,hasattr,90
IPython\testing\iptest.py,hasattr,384
IPython\testing\tools.py,hasattr,295
IPython\testing\tools.py,getattr,329
IPython\testing\tools.py,getattr,329
IPython\testing\tools.py,getattr,373
IPython\testing\plugin\ipdoctest.py,getattr,88
IPython\testing\plugin\ipdoctest.py,hasattr,115
IPython\testing\plugin\ipdoctest.py,hasattr,132
IPython\testing\plugin\ipdoctest.py,getattr,162
IPython\testing\plugin\ipdoctest.py,getattr,164
IPython\testing\plugin\ipdoctest.py,delsubscript,529
IPython\utils\decorators.py,hasattr,38
IPython\utils\dir2.py,getattr,27
IPython\utils\encoding.py,hasattr,29
IPython\utils\importstring.py,getattr,33
IPython\utils\io.py,hasattr,25
IPython\utils\io.py,hasattr,25
IPython\utils\io.py,hasattr,35
IPython\utils\io.py,getattr,37
IPython\utils\io.py,hasattr,109
IPython\utils\io.py,hasattr,109
IPython\utils\io.py,getattr,114
IPython\utils\ipstruct.py,hasattr,116
IPython\utils\ipstruct.py,delsubscript,214
IPython\utils\ipstruct.py,delsubscript,384
IPython\utils\path.py,hasattr,386
IPython\utils\py3compat.py,hasattr,300
IPython\utils\wildcard.py,getattr,31
IPython\utils\wildcard.py,getattr,71
IPython\utils\_process_posix.py,hasattr,154
IPython\utils\_signatures.py,getattr,56
IPython\utils\_signatures.py,getattr,58
IPython\utils\_signatures.py,getattr,524
IPython\utils\_signatures.py,getattr,526
IPython\utils\_signatures.py,getattr,528
IPython\utils\_tokenize_py2.py,delname,46,x
IPython\utils\_tokenize_py2.py,delname,47,token
IPython\utils\_tokenize_py3.py,delname,55,token
IPython\utils\_tokenize_py3.py,delname,180,_prefix
IPython\utils\_tokenize_py3.py,delname,180,_t2
IPython\utils\_tokenize_py3.py,delname,180,_t1
IPython\utils\_tokenize_py3.py,delname,184,_compile
IPython\utils\tests\test_capture.py,getattr,75
IPython\utils\tests\test_capture.py,getattr,93
IPython\utils\tests\test_capture.py,getattr,101
IPython\utils\tests\test_io.py,getattr,47
IPython\utils\tests\test_io.py,delname,58,tee
IPython\utils\tests\test_path.py,delsubscript,110
IPython\utils\tests\test_path.py,hasattr,112
IPython\utils\tests\test_path.py,delattribute,113
IPython\utils\tests\test_path.py,delsubscript,160
IPython\utils\tests\test_path.py,delattribute,493
setupext\install_data_ext.py,getattr,55
setupext\install_data_ext.py,getattr,57
