file,method,params,startLineno,endLineno,affectedLineno,affectedOffsets,affectedVar,affectedTypes
IPython\core\formatters.py,pop,"self, typ, default=_raise_key_error",505,544,524,17866-17869,typ,"str,tuple"
IPython\core\formatters.py,pop,"self, typ, default=_raise_key_error",505,544,525,17915-17918,typ,"str,tuple"
IPython\core\formatters.py,pop,"self, typ, default=_raise_key_error",505,544,538,18482-18485,typ,"str,tuple"
IPython\core\formatters.py,pop,"self, typ, default=_raise_key_error",505,544,539,18555-18558,typ,"str,tuple"
IPython\core\formatters.py,pop,"self, typ, default=_raise_key_error",505,544,541,18643-18646,typ,"str,tuple"
IPython\core\formatters.py,_float_precision_changed,"self, name, old, new",621,664,664,23081-23084,fmt,"str,?,int"
IPython\core\formatters.py,_type_printers_default,self,670,673,672,23382-23394,float_format,"str,int"
IPython\core\hooks.py,editor,"self, filename, linenum=None, wait=True",57,82,79,3241-3249,linemark,"str,int"
IPython\core\inputsplitter.py,push,"self, lines",603,643,628,23468-23473,lines,"str,int"
IPython\core\inputsplitter.py,push,"self, lines",603,643,631,23608-23613,lines,"str,int"
IPython\core\inputsplitter.py,push,"self, lines",603,643,638,23895-23900,lines,"str,int"
IPython\core\inputsplitter.py,_store,"self, lines, buffer=None, store='source'",436,449,445,16886-16891,lines,"str,int"
IPython\core\inputsplitter.py,_store,"self, lines, buffer=None, store='source'",436,449,446,16935-16940,lines,"str,int"
IPython\core\inputsplitter.py,_store,"self, lines, buffer=None, store='source'",436,449,448,16984-16989,lines,"str,int"
IPython\core\inputsplitter.py,push_line,"self, line",645,682,664,24736-24747,transformer,"str,tuple,tuple,tuple"
IPython\core\inputsplitter.py,push_line,"self, line",645,682,666,24835-24846,transformer,"str,tuple,tuple,tuple"
IPython\core\interactiveshell.py,banner,self,829,836,833,33837-33843,banner,"str,function"
IPython\core\interactiveshell.py,banner,self,829,836,835,33927-33933,banner,"str,function"
IPython\core\interactiveshell.py,init_readline,self,1935,2017,1974,83145-83157,uses_libedit,"str,bool"
IPython\core\interactiveshell.py,init_readline,self,1935,2017,1983,83553-83565,uses_libedit,"str,bool"
IPython\core\interactiveshell.py,_ofind,"self, oname, namespaces=None",1448,1543,1543,64470-64477,isalias,"bool,int"
IPython\core\interactiveshell.py,getoutput,"self, cmd, split=True, depth='0'",2442,2469,2469,104919-104922,out,"SList,LSString"
IPython\core\interactiveshell.py,banner,self,829,836,836,33973-33979,banner,"str,function,?"
IPython\core\interactiveshell.py,system_raw,"self, cmd",2388,2437,2404,101692-101695,cmd,"str,tuple"
IPython\core\interactiveshell.py,system_raw,"self, cmd",2388,2437,2406,101755-101758,cmd,"str,tuple"
IPython\core\logger.py,logstate,self,156,167,167,6344-6349,state,"str,bool"
IPython\core\magic.py,parse_options,"self, arg_str, opt_str, *long_opts, **kw",579,658,627,24415-24422,arg_str,"str,tuple"
IPython\core\magic.py,parse_options,"self, arg_str, opt_str, *long_opts, **kw",579,658,631,24606-24613,arg_str,"str,tuple"
IPython\core\magic.py,parse_options,"self, arg_str, opt_str, *long_opts, **kw",579,658,658,25567-25571,args,"list,str,?"
IPython\core\magic.py,__init__,"self, shell, magic_name, magic_kind",678,686,684,26525-26538,pretty_target,"str,tuple"
IPython\core\oinspect.py,_format_fields,"self, fields, title_width='0'",515,535,534,17693-17698,title,"str,tuple"
IPython\core\oinspect.py,pdef,"self, obj, oname=''",395,416,416,13715-13721,header,"str,tuple"
IPython\core\page.py,pager_page,"strng, start='0', screen_lines='0', pager_cmd=None",143,247,220,8275-8278,cmd,"str,tuple"
IPython\core\prefilter.py,handle,"self, line_info",609,673,671,25815-25821,newcmd,"str,tuple,tuple"
IPython\core\prefilter.py,handle,"self, line_info",609,673,673,25841-25847,newcmd,"str,tuple,tuple"
IPython\core\prefilter.py,handle,"self, line_info",595,601,601,22987-22990,cmd,"str,tuple"
IPython\core\shellapp.py,init_gui_pylab,self,214,251,228,8846-8852,enable,"function,bool,?"
IPython\core\shellapp.py,init_gui_pylab,self,214,251,232,8915-8921,enable,"function,bool,?"
IPython\core\ultratb.py,prepare_header,"self, etype, long_version=False",963,982,975,40701-40705,head,"str,tuple"
IPython\core\ultratb.py,structured_traceback,"self, etype, evalue, etb, tb_offset=None, number_of_lines_of_context='5'",1076,1115,1093,46300-46320,formatted_exceptions,"str,list,list"
IPython\core\ultratb.py,structured_traceback,"self, etype, evalue, etb, tb_offset=None, number_of_lines_of_context='5'",1076,1115,1098,46523-46543,formatted_exceptions,"str,list,list,list"
IPython\core\ultratb.py,structured_traceback,"self, etype, evalue, etb, tb_offset=None, number_of_lines_of_context='5'",1076,1115,1103,46849-46869,formatted_exceptions,"str,list,list,list"
IPython\core\ultratb.py,structured_traceback,"self, etype, evalue, etb, tb_offset=None, number_of_lines_of_context='5'",1076,1115,1113,47323-47349,structured_traceback_parts,"list,str,list,list,list"
IPython\core\ultratb.py,_format_list,"self, extracted_list",604,639,625,24132-24136,item,"str,tuple"
IPython\core\ultratb.py,_format_list,"self, extracted_list",604,639,636,24708-24712,item,"str,tuple,tuple"
IPython\core\ultratb.py,prepare_header,"self, etype, long_version=False",963,982,973,40572-40575,exc,"str,tuple"
IPython\core\ultratb.py,prepare_header,"self, etype, long_version=False",963,982,979,40969-40972,exc,"str,tuple"
IPython\core\ultratb.py,prepare_header,"self, etype, long_version=False",963,982,982,41091-41095,head,"str,tuple,tuple"
IPython\core\ultratb.py,format_records,"self, records",778,951,783,31176-31182,indent,"str,int"
IPython\core\ultratb.py,format_records,"self, records",778,951,824,33291-33299,tpl_link,"str,tuple"
IPython\core\ultratb.py,format_records,"self, records",778,951,853,35110-35123,tpl_call_fail,"str,tuple"
IPython\core\ultratb.py,format_records,"self, records",778,951,833,33642-33650,tpl_call,"str,tuple"
IPython\core\ultratb.py,format_records,"self, records",778,951,835,33866-33874,var_repr,"function,function,bool"
IPython\core\ultratb.py,format_records,"self, records",778,951,857,35288-35292,link,"str,tuple"
