commit,author,date,title,faultID,file
3c0b940,Shivaram Lingamneni,2012-07-17 19:47:13,address connection leak issue from #520,520,requests/api.py
3c0b940,Shivaram Lingamneni,2012-07-17 19:47:13,address connection leak issue from #520,520,requests/models.py
3c0b940,Shivaram Lingamneni,2012-07-17 19:47:13,address connection leak issue from #520,520,requests/sessions.py
3c0b940,Shivaram Lingamneni,2012-07-17 19:47:13,address connection leak issue from #520,520,tests/informal/test_leaked_connections.py
3c0b940,Shivaram Lingamneni,2012-07-17 19:47:13,address connection leak issue from #520,520,tests/test_requests.py
f60579d,Marcus McCurdy,2012-08-04 09:35:32,Moved fix for #747 to compat module,747,requests/compat.py
f60579d,Marcus McCurdy,2012-08-04 09:35:32,Moved fix for #747 to compat module,747,requests/models.py
493ea93,Marcus McCurdy,2012-08-03 23:13:17,Fixed issue #747,747,requests/models.py
493ea93,Marcus McCurdy,2012-08-03 23:13:17,Fixed issue #747,747,tests/test_requests.py
2110f7d,Marcus McCurdy,2012-08-03 23:05:37,Fixed test for issue #747 to check for '' instead of 'text/plain',747,tests/test_requests.py
12328d6,Marcus McCurdy,2012-08-03 20:09:56,Added a test to expose issue #747,747,tests/test_requests.py
1adaba3,Kenneth Reitz,2012-05-03 21:33:42,Merge pull request #580 from slingamn/keepalive,458
35ec6bb,Shivaram Lingamneni,2012-05-03 21:16:56,fix for #458,458,requests/models.py
3d4d5ab,Shivaram Lingamneni,2012-05-03 21:16:46,test for #458,458,tests/test_requests.py
317f64a,Kenneth Reitz,2012-05-03 01:36:12,Merge pull request #577 from slingamn/redirects_537,537
365c64f,Kenneth Reitz,2012-04-10 23:00:25,#539,539,requests/models.py
2bae0d2,Kenneth Reitz,2012-03-31 17:39:26,new urllib3 version,498,requests/packages/urllib3/__init__.py
2bae0d2,Kenneth Reitz,2012-03-31 17:39:26,new urllib3 version,498,requests/packages/urllib3/connectionpool.py
171b370,Kenneth Reitz,2012-03-31 03:08:12,app engine #498,498,requests/utils.py
fff5269,Kenneth Reitz,2012-03-30 23:15:43,Fix app engine error for #498,498,requests/utils.py
3c2f52d,Steve Pulec,2012-03-18 23:06:42,Fixes issues #496 by having Response.ok catch all Requests exceptions.,496,requests/models.py
9cf9d76,Kenneth Reitz,2012-03-15 18:15:27,Merge pull request #477 from maxcountryman/develop,338
bc5cc0d,Max Countryman,2012-03-09 17:26:57,potentially fixes #338,338,requests/models.py
5a2a78f,Kenneth Reitz,2012-02-13 16:14:39,Merge pull request #425 from Lukasa/develop,335
4516bd4,Kenneth Reitz,2012-01-29 18:00:33,Release redirected connections.,239,requests/models.py
c7b99f7,Kenneth Reitz,2011-11-27 11:29:52,Set Response.sent to True,291,requests/models.py
6bb4c4e,Kenneth Reitz,2011-11-27 11:24:59,Added test for Request.sent.,291,test_requests.py
c3c90bb,Kenneth Reitz,2011-07-23 22:35:46,default headers and content encoding settings Closes #78,78,requests/config.py
c3c90bb,Kenneth Reitz,2011-07-23 22:35:46,default headers and content encoding settings Closes #78,78,requests/models.py
