<<data>> <<314:10782-10786>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<v_>> <<315:10818-10820>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<v_>> <<317:10907-10909>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<184:6006-6010>> <<BernoulliRBM>> <<PARAMETER>> <<ANCHOR>>
<<v>> <<184:6012-6013>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<fe>> <<320:10967-10969>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<fe_>> <<321:11002-11005>> <<None>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<324:11097-11101>> <<BernoulliRBM>> <<PARAMETER>> <<ANCHOR>>
<<X>> <<324:11103-11104>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<y>> <<324:11106-11107>> <<None>> <<PARAMETER>> <<ANCHOR>>
<<X>> <<337:11415-11416>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<n_samples>> <<338:11482-11491>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<rng>> <<339:11514-11517>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<components_>> <<341:11574-11585>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<intercept_hidden_>> <<344:11711-11728>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<intercept_visible_>> <<345:11775-11793>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<h_samples_>> <<346:11833-11843>> <<?>> <<ATTRIBUTE>> <<ANCHOR>>
<<n_batches>> <<348:11904-11913>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<batch_slices>> <<349:11974-11986>> <<list>> <<VARIABLE>> <<ANCHOR>>
<<verbose>> <<351:12116-12123>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<begin>> <<352:12148-12153>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<iteration>> <<353:12181-12190>> <<int>> <<SCOPE>> <<ANCHOR>>
<<batch_slice>> <<354:12239-12250>> <<type>> <<SCOPE>> <<ANCHOR>>
<<end>> <<358:12360-12363>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<begin>> <<363:12632-12637>> <<int>> <<VARIABLE>> <<ANCHOR>>
<<self>> <<109:3743-3747>> <<BernoulliRBM>> <<PARAMETER>> <<ANCHOR>>
<<X>> <<109:3749-3750>> <<?>> <<PARAMETER>> <<ANCHOR>>
<<X>> <<124:4189-4190>> <<?>> <<VARIABLE>> <<ANCHOR>>
<<n_components>> <<102:3523-3535>> <<int>> <<VARIABLE>> <<LINK>>
<<self>> <<102:3503-3507>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<learning_rate>> <<103:3566-3579>> <<float>> <<VARIABLE>> <<LINK>>
<<self>> <<103:3545-3549>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<batch_size>> <<104:3607-3617>> <<int>> <<VARIABLE>> <<LINK>>
<<self>> <<104:3589-3593>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<n_iter>> <<105:3641-3647>> <<int>> <<VARIABLE>> <<LINK>>
<<self>> <<105:3627-3631>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<verbose>> <<106:3672-3679>> <<int>> <<VARIABLE>> <<LINK>>
<<self>> <<106:3657-3661>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<random_state>> <<107:3709-3721>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<107:3689-3693>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<214:7000-7004>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<215:7045-7049>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<216:7122-7126>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<216:7082-7086>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<217:7155-7159>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<_sample_hiddens>> <<217:7160-7175>> <<function>> <<VARIABLE>> <<LINK>>
<<v>> <<217:7176-7177>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<217:7179-7183>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<random_state_>> <<217:7184-7197>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<160:5281-5285>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<_mean_hiddens>> <<160:5286-5299>> <<function>> <<VARIABLE>> <<LINK>>
<<v>> <<160:5300-5301>> <<?>> <<VARIABLE>> <<LINK>>
<<v>> <<140:4710-4711>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<140:4713-4717>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<p>> <<141:4742-4743>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<141:4747-4751>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<p>> <<142:4792-4793>> <<?>> <<VARIABLE>> <<LINK>>
<<p>> <<142:4799-4800>> <<?>> <<VARIABLE>> <<LINK>>
<<rng>> <<161:5320-5323>> <<?>> <<VARIABLE>> <<LINK>>
<<p>> <<161:5343-5344>> <<None>> <<VARIABLE>> <<LINK>>
<<p>> <<161:5354-5355>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<218:7213-7217>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<_sample_visibles>> <<218:7218-7234>> <<function>> <<VARIABLE>> <<LINK>>
<<h_>> <<218:7235-7237>> <<bool>> <<VARIABLE>> <<LINK>>
<<self>> <<218:7239-7243>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<random_state_>> <<218:7244-7257>> <<?>> <<VARIABLE>> <<LINK>>
<<h>> <<179:5844-5845>> <<bool>> <<VARIABLE>> <<LINK>>
<<self>> <<179:5847-5851>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<p>> <<180:5874-5875>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<180:5879-5883>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<p>> <<181:5918-5919>> <<?>> <<VARIABLE>> <<LINK>>
<<p>> <<181:5925-5926>> <<?>> <<VARIABLE>> <<LINK>>
<<rng>> <<182:5945-5948>> <<?>> <<VARIABLE>> <<LINK>>
<<p>> <<182:5968-5969>> <<?>> <<VARIABLE>> <<LINK>>
<<p>> <<182:5979-5980>> <<?>> <<VARIABLE>> <<LINK>>
<<v_>> <<220:7277-7279>> <<bool>> <<VARIABLE>> <<LINK>>
<<X>> <<236:7681-7682>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<237:7747-7751>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<238:7824-7828>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<238:7784-7788>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<239:7867-7871>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<241:7950-7954>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<random_state_>> <<241:7955-7968>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<244:8050-8054>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<X>> <<244:8069-8070>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<240:7902-7906>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<247:8159-8163>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<248:8234-8238>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<248:8200-8204>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<249:8279-8283>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<X>> <<250:8356-8357>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<250:8321-8325>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<251:8394-8398>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<252:8456-8460>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<252:8473-8477>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<252:8428-8432>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<self>> <<254:8504-8508>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<_fit>> <<254:8509-8513>> <<function>> <<VARIABLE>> <<LINK>>
<<X>> <<254:8514-8515>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<254:8517-8521>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<random_state_>> <<254:8522-8535>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<270:8992-8996>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<_mean_hiddens>> <<270:8997-9010>> <<function>> <<VARIABLE>> <<LINK>>
<<v_pos>> <<270:9011-9016>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<271:9035-9039>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<_sample_visibles>> <<271:9040-9056>> <<function>> <<VARIABLE>> <<LINK>>
<<self>> <<271:9057-9061>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<h_samples_>> <<271:9062-9072>> <<?>> <<VARIABLE>> <<LINK>>
<<rng>> <<271:9074-9077>> <<?>> <<VARIABLE>> <<LINK>>
<<components_>> <<179:5852-5863>> <<?>> <<VARIABLE>> <<LINK>>
<<intercept_visible_>> <<180:5884-5902>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<272:9096-9100>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<_mean_hiddens>> <<272:9101-9114>> <<function>> <<VARIABLE>> <<LINK>>
<<v_neg>> <<272:9115-9120>> <<bool>> <<VARIABLE>> <<LINK>>
<<components_>> <<140:4718-4729>> <<?>> <<VARIABLE>> <<LINK>>
<<intercept_hidden_>> <<141:4752-4769>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<274:9144-9148>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<v_pos>> <<274:9166-9171>> <<?>> <<VARIABLE>> <<LINK>>
<<v_pos>> <<275:9215-9220>> <<?>> <<VARIABLE>> <<LINK>>
<<h_pos>> <<275:9224-9229>> <<None>> <<VARIABLE>> <<LINK>>
<<update>> <<276:9261-9267>> <<?>> <<VARIABLE>> <<LINK>>
<<h_neg>> <<276:9278-9283>> <<None>> <<VARIABLE>> <<LINK>>
<<v_neg>> <<276:9287-9292>> <<bool>> <<VARIABLE>> <<LINK>>
<<self>> <<277:9303-9307>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<components_>> <<277:9308-9319>> <<?>> <<VARIABLE>> <<LINK>>
<<lr>> <<277:9323-9325>> <<float>> <<VARIABLE>> <<LINK>>
<<update>> <<277:9328-9334>> <<?>> <<VARIABLE>> <<LINK>>
<<self>> <<278:9344-9348>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<intercept_hidden_>> <<278:9349-9366>> <<?>> <<VARIABLE>> <<LINK>>
<<lr>> <<278:9370-9372>> <<float>> <<VARIABLE>> <<LINK>>
<<h_pos>> <<278:9376-9381>> <<None>> <<VARIABLE>> <<LINK>>
<<h_neg>> <<278:9396-9401>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<279:9424-9428>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<intercept_visible_>> <<279:9429-9447>> <<?>> <<VARIABLE>> <<LINK>>
<<lr>> <<279:9451-9453>> <<float>> <<VARIABLE>> <<LINK>>
<<v_pos>> <<280:9511-9516>> <<?>> <<VARIABLE>> <<LINK>>
<<v_neg>> <<281:9584-9589>> <<bool>> <<VARIABLE>> <<LINK>>
<<h_neg>> <<283:9614-9619>> <<None>> <<VARIABLE>> <<LINK>>
<<rng>> <<283:9620-9623>> <<?>> <<VARIABLE>> <<LINK>>
<<h_neg>> <<283:9637-9642>> <<None>> <<VARIABLE>> <<LINK>>
<<h_neg>> <<283:9652-9657>> <<None>> <<VARIABLE>> <<LINK>>
<<h_neg>> <<284:9720-9725>> <<None>> <<VARIABLE>> <<LINK>>
<<h_neg>> <<284:9727-9732>> <<None>> <<VARIABLE>> <<LINK>>
<<self>> <<284:9693-9697>> <<BernoulliRBM>> <<VARIABLE>> <<LINK>>
<<h_samples_>> <<284:9698-9708>> <<?>> <<VARIABLE>> <<LINK>>
