file,lineno,_lineno,kind,message
test\test_dbcore.py,38,4,assignment," Incompatible types in assignment (expression has type ""unicode"", base class ""Model"" defined the type as ""None"")"
test\test_dbcore.py,59,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[TestModel1]]"", base class ""Database"" defined the type as ""Tuple[]"")"
test\test_dbcore.py,72,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[TestModel2]]"", base class ""Database"" defined the type as ""Tuple[]"")"
test\test_dbcore.py,86,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[TestModel3]]"", base class ""Database"" defined the type as ""Tuple[]"")"
test\test_dbcore.py,101,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[TestModel4]]"", base class ""Database"" defined the type as ""Tuple[]"")"
test\test_dbcore.py,115,4,assignment," Incompatible types in assignment (expression has type ""Tuple[Type[TestModel2], Type[AnotherTestModel]]"", base class ""Database"" defined the type as ""Tuple[]"")"
test\test_echonest.py,170,8,argument," Argument 1 to ""update"" of ""dict"" has incompatible type ""Dict[str, Any]""; expected ""Mapping[unicode, Any]"""
test\test_edit.py,50,17,argument," Argument 2 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_edit.py,50,17,argument," Argument 3 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_edit.py,57,13,argument," Argument 2 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_edit.py,57,13,argument," Argument 3 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_edit.py,61,13,argument," Argument 2 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_edit.py,61,13,argument," Argument 3 to ""open"" has incompatible type ""unicode""; expected ""str"""
test\test_embedart.py,117,8,argument," Argument 2 to ""write"" has incompatible type ""unicode""; expected ""str"""
test\test_importer.py,197,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""unicode"")"
test\test_importer.py,350,14,argument," Argument 2 to ""ZipFile"" has incompatible type ""unicode""; expected ""str"""
test\test_importer.py,351,4,argument," Argument 1 to ""write"" of ""ZipFile"" has incompatible type ""unicode""; expected ""str"""
test\test_importer.py,406,18,argument," Argument 2 to ""TarFile"" has incompatible type ""unicode""; expected ""str"""
test\test_importer.py,407,8,argument," Argument 1 to ""add"" of ""TarFile"" has incompatible type ""unicode""; expected ""str"""
test\test_importer.py,1122,8,assignment," Incompatible types in assignment (expression has type ""MediaFile"", variable has type ""unicode"")"
test\test_importer.py,1343,12,argument," Argument 1 to ""write"" of ""IO"" has incompatible type ""unicode""; expected ""str"""
test\test_filefilter.py,72,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""str"")"
test\test_filefilter.py,82,12,assignment," Incompatible types in assignment (expression has type ""int"", target has type ""str"")"
