file,method,startlineno,endlineno,issue_commit,issue_author,issue_date,issue_title,issue_faultID,changed_commits,practice_lineno,practice_kind,practice_info
tornado\test\runtests.py,main,90,176,34c43f4,Ben Darnell,2017-09-04 15:32:52,"Drop support for python 3.3, 3.5.[01] (#2116)",2116,"d72dc5433d5b5e6deb0695713479113abcb7861d, ac13ee5f64cd3bceb1628dbcbbfc77445358038f, b6b26e3deea1a17a187fd80e57efcfe79d2aa9bd, 34c43f4775971ab9b2b8ed43356f218add6387b2, 1be87fdddac548ef3f1fd6b93a40bd3b183a041b, a391e126e7f277244c691f5057d4cdb97c1ba2e7, 146a07e808d501d32052549c4b1eec75ee293ba2, b43fccbc9ae24d4a796c448a429d7db75f9363aa, 64b6cc6247672853c7b621a6e2c1c407f7d2a73e, cc2fb15a5fb40b84978b9bdec353976a3699064a, 06638c8a5f9164c9567f26887c99bd592a10ec7d, 00d9ac38ab17c63e5e737408f08e850130d4a882",166,assignment," Incompatible types in assignment (expression has type ""Type[TornadoTextTestRunner]"", target has type ""bool"")"
tornado\template.py,generate,320,345,55e7730,Ben Darnell,2016-04-24 10:04:15,Remove some no-longer-necessary mypy workarounds,1010,"55e7730c443d2dbf664f04f7e5c80a1becd26e1c, b6998247702a960f0c73004a6b5f8ae775607c03, 72251a29d25e90bd1b452b7a104153e7dc8419f2, 26a03dfc4d39bb16e90095101aadf28110099e9c, c6596d55a4595d5234a1898531756176eefb5755, 1a1b0498e9cddfc89721e950c2882709a23570a5, 1a1b0498e9cddfc89721e950c2882709a23570a5, 1a1b0498e9cddfc89721e950c2882709a23570a5, 1a1b0498e9cddfc89721e950c2882709a23570a5, 1a1b0498e9cddfc89721e950c2882709a23570a5, 900d5a269730935dbd318f797653162272a65796, 051cd609e1e20ac0945266b8930d7ab79f0314e8, 5339614d09aad04a85b1920282f710872bd2f7e1, 97d642364672b2d3fcb45cfbe940c0e71ad8f54b, 9b944aa25c81322a222f23a10efb2e9311663ea8, 54d91d5e1312eb2e3d0c9ae0b7f5c8333a4ac50e, 54d91d5e1312eb2e3d0c9ae0b7f5c8333a4ac50e, 597f70b31815f64ca382089b012d9eb0277e6cc1, d03e60d0aac4afc33862344908e3e3b833747a72, abcac64c377c2af47d54ef03fb216694fff34fca, abcac64c377c2af47d54ef03fb216694fff34fca, abcac64c377c2af47d54ef03fb216694fff34fca, abcac64c377c2af47d54ef03fb216694fff34fca, abcac64c377c2af47d54ef03fb216694fff34fca, abcac64c377c2af47d54ef03fb216694fff34fca, abcac64c377c2af47d54ef03fb216694fff34fca, abcac64c377c2af47d54ef03fb216694fff34fca, abcac64c377c2af47d54ef03fb216694fff34fca, abcac64c377c2af47d54ef03fb216694fff34fca, af520f637dc66d0ffb9e70289e8bf2e400618b12, af520f637dc66d0ffb9e70289e8bf2e400618b12, af520f637dc66d0ffb9e70289e8bf2e400618b12, af520f637dc66d0ffb9e70289e8bf2e400618b12, 17eed4fef3fc7b63087c247bdb1732a621cb841a, ebe191e1bf8c7befaafe2cde4709ee3848bd6e92, 708cd9e34ab7a94e750b3616f02b105ef7a1eaa0, 708cd9e34ab7a94e750b3616f02b105ef7a1eaa0, 25494d18f22b8c0128888ade59930dbc6d59cd88, 25494d18f22b8c0128888ade59930dbc6d59cd88, 25494d18f22b8c0128888ade59930dbc6d59cd88, 25494d18f22b8c0128888ade59930dbc6d59cd88, 25494d18f22b8c0128888ade59930dbc6d59cd88, 4e6b96fbcbe0a906ba2f4beee01a07f06fce4567, 81a3eae5e63eb48f5b42941e5394d58cd7e0f994, ca8002fa9f8182504e117f11c289fabe544f1a50, e391fd289ed085671344504cc5b1fa84f5a3c774",345,reference,execute,"ObjectDict,module,function,function,function,function,function,function,tuple"
tornado\test\simple_httpclient_test.py,test_ipv6,256,277,b525e42,Ben Darnell,2017-11-05 10:38:03,test: More robust ipv6 detection,2185,"b525e423c3d143f3e67dba26fea2f1103b9bb6d4, 33abbbd48332f4950a686fbb389e802e1853a6e3, 7c3b360a2140dd4ed85c45a7b25b1897f125ef85, 602f40dab771715b06bb1cbd5bcc4a0eb746f2db, cc0e7624f16e19c3976fa122b5797b3424a11298, 16c6893ab4deb4d5a60dd04865bdf83db787c3b7, 0d693ee09dc6ea91f0e7d3ebad37e11e4cc5be89, a1f6beecc8ae639436f747038c81767d604b4a44, e1a0aea3856f411b237b4f4ed36b0032d355e02c, 877aa9d86167ad0f7df9d7a32d6918fd6792bb2f, 014b76d76dd1e20c2a4167b799a3dc52f30b1b92",271,reference,url,"str,tuple"
tornado\test\simple_httpclient_test.py,test_ipv6,256,277,33abbbd,Ben Darnell,2017-11-05 10:38:03,test: More robust ipv6 detection,2185,"b525e423c3d143f3e67dba26fea2f1103b9bb6d4, 33abbbd48332f4950a686fbb389e802e1853a6e3, 7c3b360a2140dd4ed85c45a7b25b1897f125ef85, 602f40dab771715b06bb1cbd5bcc4a0eb746f2db, cc0e7624f16e19c3976fa122b5797b3424a11298, 16c6893ab4deb4d5a60dd04865bdf83db787c3b7, 0d693ee09dc6ea91f0e7d3ebad37e11e4cc5be89, a1f6beecc8ae639436f747038c81767d604b4a44, e1a0aea3856f411b237b4f4ed36b0032d355e02c, 877aa9d86167ad0f7df9d7a32d6918fd6792bb2f, 014b76d76dd1e20c2a4167b799a3dc52f30b1b92",271,reference,url,"str,tuple"
tornado\test\simple_httpclient_test.py,test_ipv6,256,277,b525e42,Ben Darnell,2017-11-05 10:38:03,test: More robust ipv6 detection,2185,"b525e423c3d143f3e67dba26fea2f1103b9bb6d4, 33abbbd48332f4950a686fbb389e802e1853a6e3, 7c3b360a2140dd4ed85c45a7b25b1897f125ef85, 602f40dab771715b06bb1cbd5bcc4a0eb746f2db, cc0e7624f16e19c3976fa122b5797b3424a11298, 16c6893ab4deb4d5a60dd04865bdf83db787c3b7, 0d693ee09dc6ea91f0e7d3ebad37e11e4cc5be89, a1f6beecc8ae639436f747038c81767d604b4a44, e1a0aea3856f411b237b4f4ed36b0032d355e02c, 877aa9d86167ad0f7df9d7a32d6918fd6792bb2f, 014b76d76dd1e20c2a4167b799a3dc52f30b1b92",275,reference,url,"str,tuple"
tornado\test\simple_httpclient_test.py,test_ipv6,256,277,33abbbd,Ben Darnell,2017-11-05 10:38:03,test: More robust ipv6 detection,2185,"b525e423c3d143f3e67dba26fea2f1103b9bb6d4, 33abbbd48332f4950a686fbb389e802e1853a6e3, 7c3b360a2140dd4ed85c45a7b25b1897f125ef85, 602f40dab771715b06bb1cbd5bcc4a0eb746f2db, cc0e7624f16e19c3976fa122b5797b3424a11298, 16c6893ab4deb4d5a60dd04865bdf83db787c3b7, 0d693ee09dc6ea91f0e7d3ebad37e11e4cc5be89, a1f6beecc8ae639436f747038c81767d604b4a44, e1a0aea3856f411b237b4f4ed36b0032d355e02c, 877aa9d86167ad0f7df9d7a32d6918fd6792bb2f, 014b76d76dd1e20c2a4167b799a3dc52f30b1b92",275,reference,url,"str,tuple"
tornado\web.py,set_cookie,506,545,f0d67b4,Ben Darnell,2017-05-20 12:29:55,web: Clarify cookie method docs,1993,"f0d67b41b3b1223822186e861184b48ae1d3be20, 365aa6439294051ea6f7517a9bc552b3673e80dd, ac0c59709ddad8dbe5dc4ef42617eeb332c7910c, 2baf3c02ab3766ab623ef009a26b02f8e08ecb0b, 900d5a269730935dbd318f797653162272a65796, 70ea7a5a6ca956b613168c9d123ee7cc951054bf, c152b784481bac99bb8395021382ae498ca9fb1f, e91d4a3a2f0e177a9cb8ad35c817b0e1acc3f898, f771360a84fa307c8deb0f544a326fd7df33a52b, 2bd2a0ffdbeb76c03023c271bdfb721aaa43d834, a3ee8cf69fbcab09ebcb06b80f4dcadf16f1e987",524,delsubscript
tornado\web.py,render,697,781,d49643b,Zhicheng Wei,2016-02-22 16:02:01,render() should raise an error when finish() already called,1648,"d49643b5ca5f6e1dbb9cff99a67529010b8c05ff, 96f81dfa48f73674c196af5da7e4255d2d228774, c6596d55a4595d5234a1898531756176eefb5755, 16c6893ab4deb4d5a60dd04865bdf83db787c3b7, 900d5a269730935dbd318f797653162272a65796, c152b784481bac99bb8395021382ae498ca9fb1f, 55d3be101ebf0821d19b5aadf799e8f65ff16276, 5664bf0781c54e3728399fdf680fae40118b9a1d, 6569f2a515e2ae6ada1dfa2e0bc32bb75174ad18, bae1b57193e4c1f4ef19dd284b45dbbd693d2668, a3ee8cf69fbcab09ebcb06b80f4dcadf16f1e987, eededcf5d51c4e945757b0936512115cf50d09f4, e520b21ed297cb92706356e6a0877df02205564c, 4daeb8d880204f5baa64fc958654da9dff60ae0e, 8aae3263dd9ec9271d27a1b0aa4f04e8d6278d12, 4e0a8433d9519a78fa255a1f76a01100bcc8ae43, aa836cdf3952d52efc68201872b3a0053aca33ad",708,getattr
tornado\websocket.py,_accept_connection,554,597,078a4d1,Thomas Kluyver,2016-02-15 14:41:27,Integrate websocket periodic pinging code from Jupyter,1640,"037bb0ed255151770130d31efd7c1f166e6a30e6, 85f3d8bc6f349a38683edc1cb652a70b1c426153, 0ed1bb761e8978b42aef2a8f654dd737eb3ff062, 2a157f41480f29131983758a61fb988c33443399, 078a4d1f510844de7d090fca33054897e79fe961, 4819308023213312c64bdcee30b7111b5554e853, c372a05f6bd24735af4743e8f57dcb4582da6bd6, fec81f65503a48edf92dc6e2740f77b4082b9033, 576c1c43bc73006f80f661a9238b718ef4b51901, 7a0eda1338bc603b7edc82af21f37558b6d0bae5, eee9953dcbadfe1b162ab8c10d105ff4da4ad0be, 0ea54f983629f88730a4c6810beba18d7219c40d",577,delsubscript
tornado\test\runtests.py,main,90,176,34c43f4,Ben Darnell,2017-09-04 15:32:52,"Drop support for python 3.3, 3.5.[01] (#2116)",2116,"d72dc5433d5b5e6deb0695713479113abcb7861d, ac13ee5f64cd3bceb1628dbcbbfc77445358038f, b6b26e3deea1a17a187fd80e57efcfe79d2aa9bd, 34c43f4775971ab9b2b8ed43356f218add6387b2, 1be87fdddac548ef3f1fd6b93a40bd3b183a041b, a391e126e7f277244c691f5057d4cdb97c1ba2e7, 146a07e808d501d32052549c4b1eec75ee293ba2, b43fccbc9ae24d4a796c448a429d7db75f9363aa, 64b6cc6247672853c7b621a6e2c1c407f7d2a73e, cc2fb15a5fb40b84978b9bdec353976a3699064a, 06638c8a5f9164c9567f26887c99bd592a10ec7d, 00d9ac38ab17c63e5e737408f08e850130d4a882",138,getattr
